cluster_rank,cluster_text,cluster_context_count,cluster_unique_posts,cluster_unique_authors,cluster_total_context_exposure,weighted_mean_gap_equal,weighted_mean_gap_timing_author_trajectory,max_gap_timing_author_trajectory,mean_riskset_size,max_riskset_size,mean_shown_count,mean_zero_share,max_zero_share,worst_context_id,worst_context_gap_timing_author_trajectory,worst_context_total_y,worst_context_riskset_size,worst_context_shown_count,worst_context_viewer_mode,worst_context_bucket,worst_context_feed_uri,worst_context_window_start_utc,worst_context_window_end_utc,sample_rank,post_uri,post_url,author_did,author_handle,record_created_at,indexed_at,first_seen_captured_at_utc,first_seen_feed_uri,first_seen_bucket,raw_text,total_exposure,shown_context_count,context_count,first_monitored_delay_minutes,mean_age_hours,min_age_hours,max_age_hours
5,#aew,8,4,3,2.698779,0.470676,0.438123,0.977255,3.0,4,1.25,0.53125,0.75,2616,0.977255,0.270238,3,1,unauth,popular_by_likecount,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/top-aew,2026-03-19T18:30:00Z,2026-03-19T18:40:00Z,1,at://did:plc:a7mhmylwlhhckf6u44rjfpcv/app.bsky.feed.post/3mhgecfrpps27,https://bsky.app/profile/did:plc:a7mhmylwlhhckf6u44rjfpcv/post/3mhgecfrpps27,did:plc:a7mhmylwlhhckf6u44rjfpcv,askarnes.bsky.social,2026-03-19T15:53:10.626Z,2026-03-19T15:53:13.557Z,2026-03-19T15:54:50Z,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/aew,popular_by_likecount,#AEW,1.434883,5,8,7.7074,21.801215,1.947048,55.113715
5,#aew,8,4,3,2.698779,0.470676,0.438123,0.977255,3.0,4,1.25,0.53125,0.75,2616,0.977255,0.270238,3,1,unauth,popular_by_likecount,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/top-aew,2026-03-19T18:30:00Z,2026-03-19T18:40:00Z,2,at://did:plc:qyasxjgq5fqgr4qxn6clpong/app.bsky.feed.post/3mhlqzsmy7c2u,https://bsky.app/profile/did:plc:qyasxjgq5fqgr4qxn6clpong/post/3mhlqzsmy7c2u,did:plc:qyasxjgq5fqgr4qxn6clpong,fatsfalafel.bsky.social,2026-03-21T19:24:19.449Z,2026-03-21T19:24:20.563Z,2026-03-21T19:25:18Z,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/wrestlesky,popular_by_likecount,#AEW,0.686491,3,3,7.9406,2.261264,1.094597,3.594597
5,#aew,8,4,3,2.698779,0.470676,0.438123,0.977255,3.0,4,1.25,0.53125,0.75,2616,0.977255,0.270238,3,1,unauth,popular_by_likecount,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/top-aew,2026-03-19T18:30:00Z,2026-03-19T18:40:00Z,3,at://did:plc:idzrpvspdl4zcwfm5s7uj46r/app.bsky.feed.post/3mhgn7bvzls2j,https://bsky.app/profile/did:plc:idzrpvspdl4zcwfm5s7uj46r/post/3mhgn7bvzls2j,did:plc:idzrpvspdl4zcwfm5s7uj46r,rockthismike.bsky.social,2026-03-19T18:32:29.586Z,2026-03-19T18:32:32.357Z,2026-03-19T18:34:13Z,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/aew,popular_by_likecount,#AEW,0.386853,1,5,1.6774,30.958448,0.125115,52.458448
5,#aew,8,4,3,2.698779,0.470676,0.438123,0.977255,3.0,4,1.25,0.53125,0.75,2616,0.977255,0.270238,3,1,unauth,popular_by_likecount,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/top-aew,2026-03-19T18:30:00Z,2026-03-19T18:40:00Z,4,at://did:plc:idzrpvspdl4zcwfm5s7uj46r/app.bsky.feed.post/3mhgjlgckrk2j,https://bsky.app/profile/did:plc:idzrpvspdl4zcwfm5s7uj46r/post/3mhgjlgckrk2j,did:plc:idzrpvspdl4zcwfm5s7uj46r,rockthismike.bsky.social,2026-03-19T17:27:41.878Z,2026-03-19T17:27:42.664Z,2026-03-19T17:30:55Z,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/aew,popular_by_likecount,#AEW,0.190551,1,8,17.3556,20.225867,0.371701,53.538367
6,"a starlet snuffed out! who could have done this to ""timeless"" toni storm? watch the #aewdynamite replay right now on hbo max!",4,2,2,2.423116,0.310554,0.339782,0.617881,2.0,2,1.5,0.25,0.5,1510,0.617881,1.0,2,1,unauth,longtail_random,at://did:plc:yl45ewhpx75f74u33smrbdis/app.bsky.feed.generator/aaaeckzotdafa,2026-03-19T13:40:00Z,2026-03-19T13:50:00Z,1,at://did:plc:dsmuyt6h5emct7b42qkum5dv/app.bsky.feed.post/3mhg4dvp2ki2n,https://bsky.app/profile/did:plc:dsmuyt6h5emct7b42qkum5dv/post/3mhg4dvp2ki2n,did:plc:dsmuyt6h5emct7b42qkum5dv,allelitewrestling.com,2026-03-19T13:30:50.907Z,2026-03-19T13:30:51.556Z,2026-03-19T13:31:22Z,at://did:plc:yl45ewhpx75f74u33smrbdis/app.bsky.feed.generator/aaaeckzotdafa,longtail_random,"A starlet snuffed out! Who could have done this to ""Timeless"" Toni Storm?

Watch the #AEWDynamite replay RIGHT NOW on HBO Max!",1.459048,3,4,13.0407,0.652526,0.319193,1.319192
6,"a starlet snuffed out! who could have done this to ""timeless"" toni storm? watch the #aewdynamite replay right now on hbo max!",4,2,2,2.423116,0.310554,0.339782,0.617881,2.0,2,1.5,0.25,0.5,1510,0.617881,1.0,2,1,unauth,longtail_random,at://did:plc:yl45ewhpx75f74u33smrbdis/app.bsky.feed.generator/aaaeckzotdafa,2026-03-19T13:40:00Z,2026-03-19T13:50:00Z,2,at://did:plc:kgpryoo3cao2ktzvzzw2nary/app.bsky.feed.post/3mhg4vji6ez2c,https://bsky.app/profile/did:plc:kgpryoo3cao2ktzvzzw2nary/post/3mhg4vji6ez2c,did:plc:kgpryoo3cao2ktzvzzw2nary,aewbot.bsky.social,2026-03-19T13:40:42.092Z,2026-03-19T13:40:42.756Z,2026-03-19T13:41:07Z,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/aew,popular_by_likecount,"A starlet snuffed out! Who could have done this to ""Timeless"" Toni Storm?

Watch the #AEWDynamite replay RIGHT NOW on HBO Max!",0.964068,3,4,4.7874,0.488308,0.154974,1.154974
7,"breakdown of kawhi's secret endorsement deal, wire transfers, uncle dennis name on paper work & more #nba #nbasky youtu.be/y2d0ds55ja0",6,2,2,1.470216,0.373863,0.324002,0.892557,2.0,2,1.1667,0.416667,0.5,9224,0.892557,0.184289,2,1,auth,popular_by_likecount,at://did:plc:tenurhgjptubkk5zf5qhi3og/app.bsky.feed.generator/h-nba,2026-03-21T03:30:00Z,2026-03-21T03:40:00Z,1,at://did:plc:4btwgxvf3esngow5xqwtoqx4/app.bsky.feed.post/3mhk3nom55h2i,https://bsky.app/profile/did:plc:4btwgxvf3esngow5xqwtoqx4/post/3mhk3nom55h2i,did:plc:4btwgxvf3esngow5xqwtoqx4,nbaskies.bsky.social,2026-03-21T03:29:04+00:00,2026-03-21T03:29:04.553Z,2026-03-21T03:35:23Z,at://did:plc:u45hqzk7counfbwyg5edhmvi/app.bsky.feed.generator/aaadvxju4txkk,popular_by_likecount,"Breakdown Of Kawhi's Secret Endorsement Deal, Wire Transfers, Uncle Dennis Name On Paper Work & More #nba #nbasky youtu.be/y2D0DS55ja0",1.100479,5,6,10.9408,0.626667,0.182222,1.015556
7,"breakdown of kawhi's secret endorsement deal, wire transfers, uncle dennis name on paper work & more #nba #nbasky youtu.be/y2d0ds55ja0",6,2,2,1.470216,0.373863,0.324002,0.892557,2.0,2,1.1667,0.416667,0.5,9224,0.892557,0.184289,2,1,auth,popular_by_likecount,at://did:plc:tenurhgjptubkk5zf5qhi3og/app.bsky.feed.generator/h-nba,2026-03-21T03:30:00Z,2026-03-21T03:40:00Z,2,at://did:plc:wmck3diml63ospobapl6n56e/app.bsky.feed.post/3mhjyefn4np2b,https://bsky.app/profile/did:plc:wmck3diml63ospobapl6n56e/post/3mhjyefn4np2b,did:plc:wmck3diml63ospobapl6n56e,orangecookiesnba.bsky.social,2026-03-21T02:30:11+00:00,2026-03-21T02:30:12.052Z,2026-03-21T02:35:13Z,at://did:plc:u45hqzk7counfbwyg5edhmvi/app.bsky.feed.generator/aaadvxju4txkk,popular_by_likecount,"Breakdown Of Kawhi's Secret Endorsement Deal, Wire Transfers, Uncle Dennis Name On Paper Work & More #nba #nbasky youtu.be/y2D0DS55ja0",0.369738,2,6,4.9991,1.608056,1.163611,1.996944
8,"giallini operato, intervento riuscito. il dottore: ""l'ho già messo in piedi"" – adnkronos giallini operato, intervento riuscito. il dottore: “l’ho già messo in piedi” adnkronos incidente per marco giallini, ‘è stato operato,…",1,2,2,0.244651,0.5,0.301971,0.301971,2.0,2,1.0,0.5,0.5,1443,0.301971,0.244651,2,1,unauth,popular_by_likecount,at://did:plc:tg6c37kjztuwx2lzlrpdubkl/app.bsky.feed.generator/aaaepk55xbk6u,2026-03-19T12:30:00Z,2026-03-19T12:40:00Z,1,at://did:plc:ht6nj7wvu3y7ysrlwyc2iy5m/app.bsky.feed.post/3mhfyxytv772t,https://bsky.app/profile/did:plc:ht6nj7wvu3y7ysrlwyc2iy5m/post/3mhfyxytv772t,did:plc:ht6nj7wvu3y7ysrlwyc2iy5m,cronaca.bsky.social,2026-03-19T12:30:28+00:00,2026-03-19T12:30:30.754Z,2026-03-19T12:34:23Z,at://did:plc:tg6c37kjztuwx2lzlrpdubkl/app.bsky.feed.generator/aaaepk55xbk6u,popular_by_likecount,"Giallini operato, intervento riuscito. Il dottore: ""L'ho già messo in piedi"" – Adnkronos

https://www.europesays.com/it/403066/

Giallini operato, intervento riuscito. Il dottore: “L’ho già messo in piedi”  Adnkronos Incidente per Marco Giallini, ‘è stato operato,…",0.244651,1,1,5.2874,0.158889,0.158889,0.158889
8,"giallini operato, intervento riuscito. il dottore: ""l'ho già messo in piedi"" – adnkronos giallini operato, intervento riuscito. il dottore: “l’ho già messo in piedi” adnkronos incidente per marco giallini, ‘è stato operato,…",1,2,2,0.244651,0.5,0.301971,0.301971,2.0,2,1.0,0.5,0.5,1443,0.301971,0.244651,2,1,unauth,popular_by_likecount,at://did:plc:tg6c37kjztuwx2lzlrpdubkl/app.bsky.feed.generator/aaaepk55xbk6u,2026-03-19T12:30:00Z,2026-03-19T12:40:00Z,2,at://did:plc:pntjm44plexkgbvlrdg65lnl/app.bsky.feed.post/3mhfyfhpka226,https://bsky.app/profile/did:plc:pntjm44plexkgbvlrdg65lnl/post/3mhfyfhpka226,did:plc:pntjm44plexkgbvlrdg65lnl,intrattenimento.bsky.social,2026-03-19T12:20:05+00:00,2026-03-19T12:20:08.952Z,2026-03-19T12:22:52Z,at://did:plc:tg6c37kjztuwx2lzlrpdubkl/app.bsky.feed.generator/aaaepk55xbk6u,popular_by_likecount,"Giallini operato, intervento riuscito. Il dottore: ""L'ho già messo in piedi"" – Adnkronos

https://www.europesays.com/it/403066/

Giallini operato, intervento riuscito. Il dottore: “L’ho già messo in piedi”  Adnkronos Incidente per Marco Giallini, ‘è stato operato,…",0.0,0,1,2.7175,0.331944,0.331944,0.331944
