run_id,vantage_id,focus_post_uri,relation_to_focus,parent_post_uri,child_post_uri,captured_at_utc
bb6ab07acd364e78badbe336cc79c7c7,unauth,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3k6y544xn6w2f,descendant_chain,at://did:plc:wns44u2gnkhhfzwhjo5kbvg2/app.bsky.feed.post/3lbzdsgnis22d,at://did:plc:wns44u2gnkhhfzwhjo5kbvg2/app.bsky.feed.post/3lbzduew5gs2d,2026-04-01T06:58:52Z
bb6ab07acd364e78badbe336cc79c7c7,unauth,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3k6y544xn6w2f,descendant_chain,at://did:plc:wns44u2gnkhhfzwhjo5kbvg2/app.bsky.feed.post/3lbzdsgnis22d,at://did:plc:vl5w7q3hv5y6kq6lawmtixeo/app.bsky.feed.post/3lc2fbb5uyk2b,2026-04-01T06:58:52Z
bb6ab07acd364e78badbe336cc79c7c7,unauth,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3k6y544xn6w2f,descendant_chain,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3k6y544xn6w2f,at://did:plc:tsmig2pz4y7o2a5wpq5x4avg/app.bsky.feed.post/3kd2i5ijliv2n,2026-04-01T06:58:52Z
bb6ab07acd364e78badbe336cc79c7c7,unauth,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3k6y544xn6w2f,descendant_chain,at://did:plc:tsmig2pz4y7o2a5wpq5x4avg/app.bsky.feed.post/3kd2i5ijliv2n,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3kd2j6t6amq2n,2026-04-01T06:58:52Z
bb6ab07acd364e78badbe336cc79c7c7,unauth,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3k6y544xn6w2f,descendant_chain,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3k6y544xn6w2f,at://did:plc:rxgtwlecy6dh5spt2ezk2uhz/app.bsky.feed.post/3kebytflua22u,2026-04-01T06:58:52Z
bb6ab07acd364e78badbe336cc79c7c7,unauth,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3k6y544xn6w2f,descendant_chain,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3k6y544xn6w2f,at://did:plc:nuyq2iwc77fopozis5i3vgyv/app.bsky.feed.post/3lbql54rees2g,2026-04-01T06:58:52Z
bb6ab07acd364e78badbe336cc79c7c7,unauth,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3k6y544xn6w2f,descendant_chain,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3k6y544xn6w2f,at://did:plc:mfzrzear3b2b4okrytcgzqtk/app.bsky.feed.post/3kgrxizvlk62x,2026-04-01T06:58:52Z
bb6ab07acd364e78badbe336cc79c7c7,unauth,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3k6y544xn6w2f,descendant_chain,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3k6y544xn6w2f,at://did:plc:lo2nbhtdtvewe6y6ctps2qnp/app.bsky.feed.post/3lazbiuvegk26,2026-04-01T06:58:52Z
bb6ab07acd364e78badbe336cc79c7c7,unauth,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3k6y544xn6w2f,descendant_chain,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3k6y544xn6w2f,at://did:plc:l3xnce4s4aoi7vc25ckwkidf/app.bsky.feed.post/3kuwqqikhdc2i,2026-04-01T06:58:52Z
bb6ab07acd364e78badbe336cc79c7c7,unauth,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3k6y544xn6w2f,descendant_chain,at://did:plc:l3xnce4s4aoi7vc25ckwkidf/app.bsky.feed.post/3kuwqqikhdc2i,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3kuwsn6v4kc23,2026-04-01T06:58:52Z
bb6ab07acd364e78badbe336cc79c7c7,unauth,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3k6y544xn6w2f,descendant_chain,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3kuwsn6v4kc23,at://did:plc:l3xnce4s4aoi7vc25ckwkidf/app.bsky.feed.post/3kuwsuefznp2h,2026-04-01T06:58:52Z
bb6ab07acd364e78badbe336cc79c7c7,unauth,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3k6y544xn6w2f,descendant_chain,at://did:plc:l3xnce4s4aoi7vc25ckwkidf/app.bsky.feed.post/3kuwsuefznp2h,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3kuwttgk3yc2x,2026-04-01T06:58:52Z
bb6ab07acd364e78badbe336cc79c7c7,unauth,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3k6y544xn6w2f,descendant_chain,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3kuwttgk3yc2x,at://did:plc:l3xnce4s4aoi7vc25ckwkidf/app.bsky.feed.post/3kuy4utv4u22j,2026-04-01T06:58:52Z
bb6ab07acd364e78badbe336cc79c7c7,unauth,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3k6y544xn6w2f,descendant_chain,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3k6y544xn6w2f,at://did:plc:jwy7pzhkdg5ep6ovgpn7vwjq/app.bsky.feed.post/3l2modfqvs22x,2026-04-01T06:58:52Z
bb6ab07acd364e78badbe336cc79c7c7,unauth,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3k6y544xn6w2f,descendant_chain,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.post/3k6y544xn6w2f,at://did:plc:imquwyubkx6rokzidos7z6na/app.bsky.feed.post/3l6u5cwbevp2c,2026-04-01T06:58:52Z
