run_id,snapshot_hour_utc,captured_at_utc,viewer_mode,vantage_id,feed_uri,bucket,rank,post_uri,post_cid,author_did,author_handle,reason_type,reason_actor_did
8676a692a3ee458cb63a4523c2cf914d,2026-02-27T19:00:00Z,2026-02-27T19:17:03Z,auth,auth_enUS_labelerexp,at://did:plc:3sn6bogankaicebzdb7liro3/app.bsky.feed.generator/aaacjnrpfqxqg,suggested_labelerexp,1,at://did:plc:3sn6bogankaicebzdb7liro3/app.bsky.feed.post/3k3icg5ynmh2r,bafyreidwzmwwj2s4mhq64b7afyygzid4tqgauw2u3xnlndsldbupj4s3ne,did:plc:3sn6bogankaicebzdb7liro3,allyann.bsky.social,,
8676a692a3ee458cb63a4523c2cf914d,2026-02-27T19:00:00Z,2026-02-27T19:17:03Z,auth,auth_enUS_labelerexp,at://did:plc:3sn6bogankaicebzdb7liro3/app.bsky.feed.generator/aaacjnrpfqxqg,suggested_labelerexp,2,at://did:plc:jldwyrazfdid3c7qyxq2eyyf/app.bsky.feed.post/3mfufpzkqne2f,bafyreie55puxtrtilso6rncurkqinqoh43kerku3756hlplptgaajcwk6e,did:plc:jldwyrazfdid3c7qyxq2eyyf,hbgpalocalnews.bsky.social,,
8676a692a3ee458cb63a4523c2cf914d,2026-02-27T19:00:00Z,2026-02-27T19:17:03Z,auth,auth_enUS_labelerexp,at://did:plc:3sn6bogankaicebzdb7liro3/app.bsky.feed.generator/aaacjnrpfqxqg,suggested_labelerexp,3,at://did:plc:cy5q3xsfbl3mfqcv57r3oq7y/app.bsky.feed.post/3mfufojb2m22m,bafyreibrijzt2ajs6sr3gt3vniuasb4qsdcckwzbndetd4yfxpgitjyqee,did:plc:cy5q3xsfbl3mfqcv57r3oq7y,johndickens.bsky.social,,
8676a692a3ee458cb63a4523c2cf914d,2026-02-27T19:00:00Z,2026-02-27T19:17:03Z,auth,auth_enUS_labelerexp,at://did:plc:3sn6bogankaicebzdb7liro3/app.bsky.feed.generator/aaacjnrpfqxqg,suggested_labelerexp,4,at://did:plc:hdo7gy7t5pszwg342pqav244/app.bsky.feed.post/3mfufkn4r4l2q,bafyreicf4vjm6xpisufvf3heplauzljfnii5lber7v3v6vzykc43lqhn5e,did:plc:hdo7gy7t5pszwg342pqav244,dredf.bsky.social,,
8676a692a3ee458cb63a4523c2cf914d,2026-02-27T19:00:00Z,2026-02-27T19:17:03Z,auth,auth_enUS_labelerexp,at://did:plc:3sn6bogankaicebzdb7liro3/app.bsky.feed.generator/aaacjnrpfqxqg,suggested_labelerexp,5,at://did:plc:aqt7bmx6edvzmlzkjzmx7b6p/app.bsky.feed.post/3mfufjw524j2g,bafyreifdccawmbmcbtqrka536yaimnzybi5qsuug5tuwmbrnth3uqgql4m,did:plc:aqt7bmx6edvzmlzkjzmx7b6p,familygamingdb.bsky.social,,
8676a692a3ee458cb63a4523c2cf914d,2026-02-27T19:00:00Z,2026-02-27T19:17:03Z,auth,auth_enUS_labelerexp,at://did:plc:3sn6bogankaicebzdb7liro3/app.bsky.feed.generator/aaacjnrpfqxqg,suggested_labelerexp,6,at://did:plc:b7teq53t5mp7ldymij2h7ejs/app.bsky.feed.post/3mfufjssi722y,bafyreicativ5wcblptl5y2d27tpjodtogbt4rxhzze3zrwvct6bichmnba,did:plc:b7teq53t5mp7ldymij2h7ejs,accesshorror.bsky.social,,
8676a692a3ee458cb63a4523c2cf914d,2026-02-27T19:00:00Z,2026-02-27T19:17:03Z,auth,auth_enUS_labelerexp,at://did:plc:3sn6bogankaicebzdb7liro3/app.bsky.feed.generator/aaacjnrpfqxqg,suggested_labelerexp,7,at://did:plc:76x65qgfno4y62mwnnm3mox7/app.bsky.feed.post/3mfufiptjkk2g,bafyreiaeorqfmfylyzu2ka5mu3vwaj7jiou5abxerudz2lqbprbjgxsyqe,did:plc:76x65qgfno4y62mwnnm3mox7,equitableforall.com,,
8676a692a3ee458cb63a4523c2cf914d,2026-02-27T19:00:00Z,2026-02-27T19:17:03Z,auth,auth_enUS_labelerexp,at://did:plc:3sn6bogankaicebzdb7liro3/app.bsky.feed.generator/aaacjnrpfqxqg,suggested_labelerexp,8,at://did:plc:i6npy2ctoqgzs2lrwf63uotz/app.bsky.feed.post/3mfufhfxtox2q,bafyreiava27d5p64ssiagcwralxxgfv7ufxzfbhm6tmc3mmqzdjn4nhupq,did:plc:i6npy2ctoqgzs2lrwf63uotz,patriciadudek.bsky.social,,
8676a692a3ee458cb63a4523c2cf914d,2026-02-27T19:00:00Z,2026-02-27T19:17:03Z,auth,auth_enUS_labelerexp,at://did:plc:3sn6bogankaicebzdb7liro3/app.bsky.feed.generator/aaacjnrpfqxqg,suggested_labelerexp,9,at://did:plc:4eswcwklsh3x7tpnxubuaoml/app.bsky.feed.post/3mfufgllror22,bafyreih3p56lhstkw5jgrfzv53istvrp7hpfhouf7hcfecfrc6soabu2he,did:plc:4eswcwklsh3x7tpnxubuaoml,allsupssdi.bsky.social,,
8676a692a3ee458cb63a4523c2cf914d,2026-02-27T19:00:00Z,2026-02-27T19:17:03Z,auth,auth_enUS_labelerexp,at://did:plc:3sn6bogankaicebzdb7liro3/app.bsky.feed.generator/aaacjnrpfqxqg,suggested_labelerexp,10,at://did:plc:ltqbtmc6d4ao4o4g3egc362h/app.bsky.feed.post/3mfufgkxmhd2w,bafyreibfr6islst6txup3a4ggs6cggabyoxxykygaplqlunhfi7jcb7egu,did:plc:ltqbtmc6d4ao4o4g3egc362h,allsupveterans.bsky.social,,
