cluster_text,cluster_posts,cluster_authors_n,cluster_total_weighted_exposure,post_uri,author,appearances,windows_seen,weighted_exposure,share_in_cluster
‘go big and go loud’: inside the justice dept.’s push to prosecute protesters www.nytimes.com/2026/03/19/u...,5,5,20.548213,at://did:plc:5nndceidanh4jmmjpapvvvt5/app.bsky.feed.post/3mhfs3fuan22q,travisjnichols.bsky.social,11,1,2.807962,0.136652
‘go big and go loud’: inside the justice dept.’s push to prosecute protesters www.nytimes.com/2026/03/19/u...,5,5,20.548213,at://did:plc:yfbngthbhuxysuswccqt2fgc/app.bsky.feed.post/3mhfxi7c4bs23,daicing1636.bsky.social,7,1,1.754777,0.085398
www.nature.com/articles/s41...,9,5,15.608247,at://did:plc:zfnxlbfv55wnllu37x7ojsdn/app.bsky.feed.post/3mhfa6253cc2d,dennishuang.bsky.social,15,1,3.537315,0.226631
www.nature.com/articles/s41...,9,5,15.608247,at://did:plc:672lt7wfql3ukdbcm467bcxt/app.bsky.feed.post/3mhf34cbq422j,healthcare-global.bsky.social,10,1,1.899535,0.121701
www.nature.com/articles/s41...,9,5,15.608247,at://did:plc:qnxxtvn4ohizd5ejhfgsyuj5/app.bsky.feed.post/3mhfxc426os2o,josephwgordon.bsky.social,7,1,1.717436,0.110034
www.nature.com/articles/s41...,9,5,15.608247,at://did:plc:nlqc6rmtgnzqu6z5i7ufbuok/app.bsky.feed.post/3mhfpa3yw4k2f,nichemodelling.bsky.social,6,1,1.665255,0.106691
www.nature.com/articles/s41...,9,5,15.608247,at://did:plc:zw4f7wkr5267w67nyxizdbnc/app.bsky.feed.post/3mhfxjbowts2y,tonysouthall.bsky.social,6,1,1.48476,0.095127
www.nature.com/articles/s41...,9,5,15.608247,at://did:plc:nlqc6rmtgnzqu6z5i7ufbuok/app.bsky.feed.post/3mhfoxbjyys2f,nichemodelling.bsky.social,6,1,1.465566,0.093897
www.nature.com/articles/s41...,9,5,15.608247,at://did:plc:qnxxtvn4ohizd5ejhfgsyuj5/app.bsky.feed.post/3mhfxgedafk2o,josephwgordon.bsky.social,6,1,1.297573,0.083134
www.nature.com/articles/s41...,9,5,15.608247,at://did:plc:qnxxtvn4ohizd5ejhfgsyuj5/app.bsky.feed.post/3mhfx3sbdkc2o,josephwgordon.bsky.social,6,1,1.279205,0.081957
www.nature.com/articles/s41...,9,5,15.608247,at://did:plc:qnxxtvn4ohizd5ejhfgsyuj5/app.bsky.feed.post/3mhfwzmgqpk24,josephwgordon.bsky.social,6,1,1.261601,0.080829
your last saved meme is your moral philosophy.,5,5,13.697218,at://did:plc:wt4bfiwr7qve226cqxdbmceo/app.bsky.feed.post/3mhfhhuzsm22l,kuroganautpx.bsky.social,37,1,8.855165,0.646494
your last saved meme is your moral philosophy.,5,5,13.697218,at://did:plc:6jsvfycij3nlal6nkrzym6vb/app.bsky.feed.post/3mhfvagpstc2k,meatbag-hunter.bsky.social,11,1,2.544407,0.185761
your last saved meme is your moral philosophy.,5,5,13.697218,at://did:plc:hr25qe6gbpdosx6qim6csmde/app.bsky.feed.post/3mhf77vh6f225,jaywhangdoesstuff.com,8,1,1.746818,0.127531
your last saved meme is your moral philosophy.,5,5,13.697218,at://did:plc:pjpjhwdp2qdhtfycbavuf6m3/app.bsky.feed.post/3mhfmbzqt3s2f,primal89.bsky.social,2,1,0.364176,0.026588
your last saved meme is your moral philosophy.,5,5,13.697218,at://did:plc:jroopecdqsbuwshqyhm4vv7v/app.bsky.feed.post/3mhfd64u7vk2m,tampire.bsky.social,1,1,0.186652,0.013627
"if you see this, share a #randomshelfie #booksky",5,5,13.500458,at://did:plc:dx7ks4qnizgzje6o2dyvhiqw/app.bsky.feed.post/3mhfwmddmvs2m,gabrielandworms.bsky.social,13,1,4.134126,0.306221
"if you see this, share a #randomshelfie #booksky",5,5,13.500458,at://did:plc:6hskua74wbqliwlwkdrxghtw/app.bsky.feed.post/3mhfuw3dfz22u,miseryvulture.bsky.social,13,1,3.76266,0.278706
"if you see this, share a #randomshelfie #booksky",5,5,13.500458,at://did:plc:omkb4ov5w2bintbbbb47lile/app.bsky.feed.post/3mhfut6u7oc2u,dlbowman76.com,8,1,2.132163,0.157933
"if you see this, share a #randomshelfie #booksky",5,5,13.500458,at://did:plc:ttuujeq35byhnzibuzlqapfc/app.bsky.feed.post/3mhfv4qfolc2r,danhf.bsky.social,10,1,2.015255,0.149273
"if you see this, share a #randomshelfie #booksky",5,5,13.500458,at://did:plc:lwz3xuwezmx2tld56m2pby7t/app.bsky.feed.post/3mhfwo6yumc2w,fenken.bsky.social,6,1,1.456253,0.107867
www.theguardian.com/politics/202...,6,5,6.073739,at://did:plc:37vkvbfklza7kaiqtbxtjr4v/app.bsky.feed.post/3mhfdulmlmk2i,arielma.bsky.social,8,1,1.740808,0.286612
www.theguardian.com/politics/202...,6,5,6.073739,at://did:plc:li6txzo2wrl3iosmfavmgkpg/app.bsky.feed.post/3mhftdom6ek2f,instantnicky.bsky.social,5,1,1.223253,0.2014
