context_id,scheduled_window_start_utc,scheduled_window_end_utc,viewer_mode,vantage_id,feed_uri,bucket,cluster_text,riskset_size,context_total_y,shown_count,zero_exposure_count,gap_equal,gap_timing_residual,gap_full_residual
2373,2026-03-19T18:40:00Z,2026-03-19T18:50:00Z,unauth,unauth,at://did:plc:lcn5zsz2e7kjwoe4ldf3chr5/app.bsky.feed.generator/aaangplovi6dw,popular_by_likecount,'umrisse' #fotovorschlag,80,0.1965616322328226,1,79,0.9875,0.9851390471358372,0.9858330974877147
296,2026-03-19T07:10:00Z,2026-03-19T07:20:00Z,unauth,unauth,at://did:plc:l5jiby72q4dqks6vbtiqkeio/app.bsky.feed.generator/aaadshsbo7m2o,longtail_random,post a gif of who you wanted to be as a kid,10,0.21533827903669653,1,9,0.9000000000000001,0.979124971620106,0.9805310702148984
343,2026-03-19T07:30:00Z,2026-03-19T07:40:00Z,auth,auth,at://did:plc:l5jiby72q4dqks6vbtiqkeio/app.bsky.feed.generator/aaadshsbo7m2o,longtail_random,post a gif of who you wanted to be as a kid,10,0.2103099178571525,1,9,0.9000000000000001,0.9766491917319367,0.9782037057326208
111,2026-03-19T06:10:00Z,2026-03-19T06:20:00Z,auth,auth,at://did:plc:l5jiby72q4dqks6vbtiqkeio/app.bsky.feed.generator/aaadshsbo7m2o,longtail_random,post a gif of who you wanted to be as a kid,7,0.21810429198553155,1,6,0.857142857142857,0.9712759583449463,0.9735113794808572
150,2026-03-19T06:20:00Z,2026-03-19T06:30:00Z,auth,auth,at://did:plc:l5jiby72q4dqks6vbtiqkeio/app.bsky.feed.generator/aaadshsbo7m2o,longtail_random,post a gif of who you wanted to be as a kid,7,0.21810429198553155,1,6,0.857142857142857,0.9708954966475172,0.9730558959127591
322,2026-03-19T07:30:00Z,2026-03-19T07:40:00Z,auth,auth,at://did:plc:56fa7nq34sp444dlr5a7tqmu/app.bsky.feed.generator/aaacylrsrrkji,popular_by_likecount,"cats are such graceful, majestic creatures",26,0.2103099178571525,1,25,0.9615384615384617,0.9701261484104774,0.9703626116882419
2342,2026-03-19T18:30:00Z,2026-03-19T18:40:00Z,auth,auth,at://did:plc:eubjsqnf5edgvcc6zuoyixhw/app.bsky.feed.generator/tortie-cats,popular_by_likecount,"cats are such graceful, majestic creatures",36,0.18316925091363362,1,35,0.972222222222222,0.969443277823627,0.9705419067232903
303,2026-03-19T07:20:00Z,2026-03-19T07:30:00Z,auth,auth,at://did:plc:56fa7nq34sp444dlr5a7tqmu/app.bsky.feed.generator/aaacylrsrrkji,popular_by_likecount,"cats are such graceful, majestic creatures",26,0.21533827903669653,1,25,0.9615384615384617,0.9693573327394517,0.969590065038404
1146,2026-03-19T11:50:00Z,2026-03-19T12:00:00Z,auth,auth,at://did:plc:ojisdwhv5b7tzitkipo3yx3f/app.bsky.feed.generator/aaao3rw3oxwku,popular_by_likecount,'umrisse' #fotovorschlag,56,0.23981246656813146,1,55,0.982142857142857,0.9690755959769116,0.9694343377961214
60,2026-03-19T05:50:00Z,2026-03-19T06:00:00Z,auth,auth,at://did:plc:l5jiby72q4dqks6vbtiqkeio/app.bsky.feed.generator/aaadshsbo7m2o,longtail_random,post a gif of who you wanted to be as a kid,7,0.22106472945750374,1,6,0.857142857142857,0.9688468805925484,0.9716487268567767
297,2026-03-19T07:10:00Z,2026-03-19T07:20:00Z,auth,auth,at://did:plc:56fa7nq34sp444dlr5a7tqmu/app.bsky.feed.generator/aaacylrsrrkji,popular_by_likecount,"cats are such graceful, majestic creatures",26,0.21810429198553155,1,25,0.9615384615384617,0.9680532372592912,0.9682931605914824
910,2026-03-19T10:40:00Z,2026-03-19T10:50:00Z,unauth,unauth,at://did:plc:56fa7nq34sp444dlr5a7tqmu/app.bsky.feed.generator/aaacylrsrrkji,popular_by_likecount,"cats are such graceful, majestic creatures",27,0.18208790046993825,1,26,0.962962962962963,0.9680521303372226,0.9683806347323339
1161,2026-03-19T12:00:00Z,2026-03-19T12:10:00Z,auth,auth,at://did:plc:ojisdwhv5b7tzitkipo3yx3f/app.bsky.feed.generator/aaao3rw3oxwku,popular_by_likecount,'umrisse' #fotovorschlag,56,0.23981246656813146,1,55,0.982142857142857,0.9634481296362164,0.9637751483750376
