run_id,snapshot_hour_utc,captured_at_utc,viewer_mode,vantage_id,feed_uri,bucket,rank,post_uri,post_cid,author_did,author_handle,reason_type,reason_actor_did
4fe091a9ffe64ef4be99d1d2ab10224a,2026-02-24T15:00:00Z,2026-02-24T15:12:42Z,auth,auth_enUS_labelerexp,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.generator/aaahcxau33dt4,suggested_labelerexp,12,at://did:plc:yb6br2xqoi463qfgfa4hnsy7/app.bsky.feed.post/3mfhddcjajs2a,bafyreigmd2e7qycgbvyboq57sm2sckgllmoopqb3w5sjnelj3zlpsnmk4q,did:plc:yb6br2xqoi463qfgfa4hnsy7,gayzrdmartin.bsky.social,,
4fe091a9ffe64ef4be99d1d2ab10224a,2026-02-24T15:00:00Z,2026-02-24T15:12:42Z,auth,auth_enUS_labelerexp,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.generator/aaahcxau33dt4,suggested_labelerexp,13,at://did:plc:4hmti4qn6ogog4ek3is4yui6/app.bsky.feed.post/3mfhshxtrbc2g,bafyreie76242oyyghucgtaw3znjz7psnucihaje2ohmqqareojwtwl6lqu,did:plc:4hmti4qn6ogog4ek3is4yui6,tearexanne.bsky.social,,
4fe091a9ffe64ef4be99d1d2ab10224a,2026-02-24T15:00:00Z,2026-02-24T15:12:42Z,auth,auth_enUS_labelerexp,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.generator/aaahcxau33dt4,suggested_labelerexp,14,at://did:plc:xzwukmyqoioz7d6vhupe5qf7/app.bsky.feed.post/3mfm3w2egf22d,bafyreihb3wb2rk2mmtl62tlgvow2psrvnxeodhccepvtooboqcbjicyym4,did:plc:xzwukmyqoioz7d6vhupe5qf7,toonthick.bsky.social,,
4fe091a9ffe64ef4be99d1d2ab10224a,2026-02-24T15:00:00Z,2026-02-24T15:12:42Z,auth,auth_enUS_labelerexp,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.generator/aaahcxau33dt4,suggested_labelerexp,15,at://did:plc:di7v5ml6mek75jsmzu24hdwa/app.bsky.feed.post/3mfgoaoexf52y,bafyreicicyir4jcpojybtv3aesn5o2cmyku5rg2ovxtjhxed6zqrhny5c4,did:plc:di7v5ml6mek75jsmzu24hdwa,anatureframe.bsky.social,,
4fe091a9ffe64ef4be99d1d2ab10224a,2026-02-24T15:00:00Z,2026-02-24T15:12:42Z,auth,auth_enUS_labelerexp,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.generator/aaahcxau33dt4,suggested_labelerexp,16,at://did:plc:r2oqgxnckv3wiwufmwse4s6s/app.bsky.feed.post/3mfi2oc2dbs2x,bafyreig73btxdsfm72ierylcjnld2nfd2ab2fdvt6f3fa4ojww3qkm4xqu,did:plc:r2oqgxnckv3wiwufmwse4s6s,astrollacium.bsky.social,,
4fe091a9ffe64ef4be99d1d2ab10224a,2026-02-24T15:00:00Z,2026-02-24T15:12:42Z,auth,auth_enUS_labelerexp,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.generator/aaahcxau33dt4,suggested_labelerexp,17,at://did:plc:nopmj7jq5way4madk7autfxw/app.bsky.feed.post/3mfm6q72ib226,bafyreicqzcgabn2t4ipikf6qbmlyl2a4enkhtbaoc5epm6vipx3uzhzopa,did:plc:nopmj7jq5way4madk7autfxw,myxtii.bsky.social,,
4fe091a9ffe64ef4be99d1d2ab10224a,2026-02-24T15:00:00Z,2026-02-24T15:12:42Z,auth,auth_enUS_labelerexp,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.generator/aaahcxau33dt4,suggested_labelerexp,18,at://did:plc:qje7wehjpior4daklcwjt35b/app.bsky.feed.post/3mfl3pqihyk2q,bafyreiabmvv5xgvtcy2qdqky7piudb4jyqly5jc6lqulsyequynakbljkq,did:plc:qje7wehjpior4daklcwjt35b,craigmgraham.bsky.social,,
4fe091a9ffe64ef4be99d1d2ab10224a,2026-02-24T15:00:00Z,2026-02-24T15:12:42Z,auth,auth_enUS_labelerexp,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.generator/aaahcxau33dt4,suggested_labelerexp,19,at://did:plc:gc7p5c5ui2vzdue6r6nu45j3/app.bsky.feed.post/3mfgok52rsc2p,bafyreiaeuie6stochoxdmfuobdb2y4gkdf75dplcnrwtbiw2shclkgyr2y,did:plc:gc7p5c5ui2vzdue6r6nu45j3,jthom529.bsky.social,,
4fe091a9ffe64ef4be99d1d2ab10224a,2026-02-24T15:00:00Z,2026-02-24T15:12:42Z,auth,auth_enUS_labelerexp,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.generator/aaahcxau33dt4,suggested_labelerexp,20,at://did:plc:aelbcntag5cnast3wgfd2up3/app.bsky.feed.post/3mfm6pyoiw22y,bafyreibrja3bi5f5ht6bocjvcr2wdjc55ohfcsm5rpnpltzvmyno4w2ndm,did:plc:aelbcntag5cnast3wgfd2up3,mrwouwou.bsky.social,,
4fe091a9ffe64ef4be99d1d2ab10224a,2026-02-24T15:00:00Z,2026-02-24T15:12:42Z,auth,auth_enUS_labelerexp,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.generator/aaahcxau33dt4,suggested_labelerexp,21,at://did:plc:rpomcmibuukaqmubxyhxw3mw/app.bsky.feed.post/3mfluwaubjk2n,bafyreidlnw2odzpgv66yp5rps4ta6huwnyezg2vdkvamgphkhqdpmnh36i,did:plc:rpomcmibuukaqmubxyhxw3mw,luckych4rmz.bsky.social,,
