run_id,snapshot_hour_utc,captured_at_utc,viewer_mode,vantage_id,post_uri,post_cid,label_src,label_val,label_neg,label_uri,label_cts
e003328639a24edd8c8a86bd0ff71882,2026-02-22T07:00:00Z,2026-02-22T07:09:40Z,auth,auth_enUS_labelerexp,at://did:plc:3sn6bogankaicebzdb7liro3/app.bsky.feed.post/3k3icg5ynmh2r,bafyreidwzmwwj2s4mhq64b7afyygzid4tqgauw2u3xnlndsldbupj4s3ne,did:plc:3sn6bogankaicebzdb7liro3,!no-unauthenticated,,at://did:plc:3sn6bogankaicebzdb7liro3/app.bsky.actor.profile/self,1970-01-01T00:00:00.000Z
e003328639a24edd8c8a86bd0ff71882,2026-02-22T07:00:00Z,2026-02-22T07:09:40Z,auth,auth_enUS_labelerexp,at://did:plc:yz6nzscxgmfim44sq2dymw2e/app.bsky.feed.post/3mfgl4yap7s2h,bafyreicogyvyt4mkl5jy46mbf3qhcwlqdrfvzzqsnquhhs6g7ci7sdpq54,did:plc:ar7c4by46qjdydhdevvrndac,sexual,,did:plc:yz6nzscxgmfim44sq2dymw2e,2024-12-26T04:33:50.386Z
e003328639a24edd8c8a86bd0ff71882,2026-02-22T07:00:00Z,2026-02-22T07:09:40Z,auth,auth_enUS_labelerexp,at://did:plc:yz6nzscxgmfim44sq2dymw2e/app.bsky.feed.post/3mfgl4yap7s2h,bafyreicogyvyt4mkl5jy46mbf3qhcwlqdrfvzzqsnquhhs6g7ci7sdpq54,did:plc:ar7c4by46qjdydhdevvrndac,nudity,,at://did:plc:yz6nzscxgmfim44sq2dymw2e/app.bsky.actor.profile/self,2024-12-12T08:42:01.277Z
e003328639a24edd8c8a86bd0ff71882,2026-02-22T07:00:00Z,2026-02-22T07:09:40Z,auth,auth_enUS_labelerexp,at://did:plc:2ol7mde2gqwhpbzf4uk2ynvk/app.bsky.feed.post/3mfgkbqkmuk2v,bafyreid7jw2pykbp527dfvah2zws2fqvjbqgl5tng7ha6ui3cjc2xwx5va,did:plc:2ol7mde2gqwhpbzf4uk2ynvk,!no-unauthenticated,,at://did:plc:2ol7mde2gqwhpbzf4uk2ynvk/app.bsky.actor.profile/self,2024-10-18T19:16:52.080Z
e003328639a24edd8c8a86bd0ff71882,2026-02-22T07:00:00Z,2026-02-22T07:09:40Z,auth,auth_enUS_labelerexp,at://did:plc:vm4u4e5zzup5chaa3zljpicz/app.bsky.feed.post/3mfgjzamrzr2k,bafyreiax7juhsgeo6vjmvfwmfelgewilcl7wboedqvum27sycywr3gsr2u,did:plc:vm4u4e5zzup5chaa3zljpicz,!no-unauthenticated,,at://did:plc:vm4u4e5zzup5chaa3zljpicz/app.bsky.actor.profile/self,1970-01-01T00:00:00.000Z
e003328639a24edd8c8a86bd0ff71882,2026-02-22T07:00:00Z,2026-02-22T07:09:40Z,auth,auth_enUS_labelerexp,at://did:plc:5wmeew3bng3k7bsarc5xih7l/app.bsky.feed.post/3mfgj4w4l6gt2,bafyreid4wyehp2w2e4tiyvw35qcjeudelidoh3lpbu73hd4b2kiebrtixy,did:plc:5wmeew3bng3k7bsarc5xih7l,bridged-from-bridgy-fed-activitypub,,at://did:plc:5wmeew3bng3k7bsarc5xih7l/app.bsky.actor.profile/self,1970-01-01T00:00:00.000Z
e003328639a24edd8c8a86bd0ff71882,2026-02-22T07:00:00Z,2026-02-22T07:09:40Z,auth,auth_enUS_labelerexp,at://did:plc:pjlfw5ebq3hqxpbrqm4xfhrp/app.bsky.feed.post/3mfgh5judnc2x,bafyreihg3q5zmtauetvve7v4ariikgnkk4q4srnb2uvyrwc26qf2ljzlyy,did:plc:uac6er53o2pvr5y2qmvaf7hw,disinfo-link,,did:plc:pjlfw5ebq3hqxpbrqm4xfhrp,2025-11-07T11:32:01.941Z
e003328639a24edd8c8a86bd0ff71882,2026-02-22T07:00:00Z,2026-02-22T07:09:40Z,auth,auth_enUS_labelerexp,at://did:plc:pjlfw5ebq3hqxpbrqm4xfhrp/app.bsky.feed.post/3mfgh5judnc2x,bafyreihg3q5zmtauetvve7v4ariikgnkk4q4srnb2uvyrwc26qf2ljzlyy,did:plc:uac6er53o2pvr5y2qmvaf7hw,hate-symbol,,did:plc:pjlfw5ebq3hqxpbrqm4xfhrp,2025-11-07T11:32:01.941Z
e003328639a24edd8c8a86bd0ff71882,2026-02-22T07:00:00Z,2026-02-22T07:09:40Z,auth,auth_enUS_labelerexp,at://did:plc:flkpnajjnlayc5zf4lwnrnnx/app.bsky.feed.post/3mfgfznficc2r,bafyreicwv2rc2q5dwd6kkub7abqefqezhkvwzl3eya2p2ebxnzodjo2yhe,did:plc:l624mewisyr6hymexmrjkprc,label-podcast,,did:plc:flkpnajjnlayc5zf4lwnrnnx,2024-10-21T03:07:40.121Z
e003328639a24edd8c8a86bd0ff71882,2026-02-22T07:00:00Z,2026-02-22T07:09:40Z,auth,auth_enUS_labelerexp,at://did:plc:flkpnajjnlayc5zf4lwnrnnx/app.bsky.feed.post/3mfgfznficc2r,bafyreicwv2rc2q5dwd6kkub7abqefqezhkvwzl3eya2p2ebxnzodjo2yhe,did:plc:l624mewisyr6hymexmrjkprc,streamer,,did:plc:flkpnajjnlayc5zf4lwnrnnx,2024-10-21T03:07:39.690Z
