run_id,job_name,sample_family,collection_params_hash,collector_version,schema_version,request_provenance_version,provenance_source,provenance_level,partial_reason,request_started_at_utc,request_finished_at_utc,request_order_in_run,request_order_in_sweep,snapshot_hour_utc,date_utc,viewer_mode,vantage_id,host_kind,host,endpoint,feed_uri,page_no,cursor_in,cursor_out,depth_requested,depth_returned,http_status,retry_count,response_hash,error_class
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:14Z,,15,15,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,125,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:15Z,,16,16,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,150,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:16Z,,17,17,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,125,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:17Z,,18,18,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,174,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:18Z,,19,19,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,175,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:19Z,,20,20,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,200,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:20Z,,21,21,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,175,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:21Z,,22,22,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,175,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:22Z,,23,23,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,150,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:23Z,,24,24,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,200,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:24Z,,25,25,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,125,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:25Z,,26,26,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,100,,,,
