run_id,snapshot_hour_utc,captured_at_utc,viewer_mode,vantage_id,feed_uri,bucket,post_uri,post_cid,author_did,author_handle,record_created_at,indexed_at,text
e41f0bfb40724dfda9f435c5ea899768,2026-02-27T14:00:00Z,2026-02-27T14:16:51Z,auth,auth_enUS_labelerexp,at://did:plc:abv47bjgzjgoh3yrygwoi36x/app.bsky.feed.generator/aaagt6amuur5e,suggested_labelerexp,at://did:plc:tf4uzdwmiov6oqet6f7hfqxy/app.bsky.feed.post/3mftunupvcl2o,bafyreigm4sjdoymughw77jswbx3nz55p4e2w4ekj4e5oeyoml7ibipy3hi,did:plc:tf4uzdwmiov6oqet6f7hfqxy,jodipayne.bsky.social,2026-02-27T14:00:05.838Z,2026-02-27T14:00:08.761Z,"Subscribe to my newsletter for:

-new releases
-sales
-cover reveals
-backlist celebrations
-book recs and more

readerlinks.com/l/2317334

#BookSky"
e41f0bfb40724dfda9f435c5ea899768,2026-02-27T14:00:00Z,2026-02-27T14:16:51Z,auth,auth_enUS_labelerexp,at://did:plc:abv47bjgzjgoh3yrygwoi36x/app.bsky.feed.generator/aaagt6amuur5e,suggested_labelerexp,at://did:plc:qboml6pqgrceeoykk57n52jp/app.bsky.feed.post/3mftunqz22a27,bafyreid32u4gx7yseys36o2bbdfvzjk26iwxatichotec5usomhdlth36a,did:plc:qboml6pqgrceeoykk57n52jp,inventingreality.bsky.social,2026-02-27T14:00:04.697679+00:00,2026-02-27T14:00:05.495Z,#writerfail #writerhelp #writerslift #amwriting #writingcommunity inventingrealityediting.com/2...
e41f0bfb40724dfda9f435c5ea899768,2026-02-27T14:00:00Z,2026-02-27T14:16:51Z,auth,auth_enUS_labelerexp,at://did:plc:abv47bjgzjgoh3yrygwoi36x/app.bsky.feed.generator/aaagt6amuur5e,suggested_labelerexp,at://did:plc:uljgolzxnghg74ujoltvevft/app.bsky.feed.post/3mftunpr4b22z,bafyreihaak4isniozt6vhfbthluo4tzr23afxccxhmbcxjxr7qncxzh2se,did:plc:uljgolzxnghg74ujoltvevft,lachimolala.bsky.social,2026-02-27T14:00:03.401Z,2026-02-27T14:00:06.856Z,#booksky 📚💙
e41f0bfb40724dfda9f435c5ea899768,2026-02-27T14:00:00Z,2026-02-27T14:16:51Z,auth,auth_enUS_labelerexp,at://did:plc:abv47bjgzjgoh3yrygwoi36x/app.bsky.feed.generator/aaagt6amuur5e,suggested_labelerexp,at://did:plc:kggsmtdrezxjkko63jmrecde/app.bsky.feed.post/3mftun6czuc2u,bafyreiat5j3v5tzjpzlj3es2s47orevedknve3hqkhh4c5vv2yq67sv36e,did:plc:kggsmtdrezxjkko63jmrecde,evelynfenn.bsky.social,2026-02-27T13:59:45.116Z,2026-02-27T13:59:45.362Z,"#PretendPanel
A long time ago I was in an IRC fanfic group. Great for cheerleading, beta reading and brain storming.
Would ❤️ to find a similar community or a F2F group for original work.
But I also like writing solo, with no external pressure to produce.
#Writers #WritingCommunity"
e41f0bfb40724dfda9f435c5ea899768,2026-02-27T14:00:00Z,2026-02-27T14:16:51Z,auth,auth_enUS_labelerexp,at://did:plc:abv47bjgzjgoh3yrygwoi36x/app.bsky.feed.generator/aaagt6amuur5e,suggested_labelerexp,at://did:plc:ta4fi6af2fv4lijh63v75eyt/app.bsky.feed.post/3mftun66p6s2u,bafyreiboe7snu2xkrjlqj4imromqs27iqqoz7pdlv4y47uzu4k4tjdtsga,did:plc:ta4fi6af2fv4lijh63v75eyt,gcalease.bsky.social,2026-02-27T13:59:44.975Z,2026-02-27T13:59:43.760Z,"Book #4 complete. I really liked Heated Rivalry. I preferred Gamechanger but really liked both. 

Next: The Seven Husbands of Evelyn Hugo by Taylor Jenkins Reid

#Booksky"
e41f0bfb40724dfda9f435c5ea899768,2026-02-27T14:00:00Z,2026-02-27T14:16:51Z,auth,auth_enUS_labelerexp,at://did:plc:abv47bjgzjgoh3yrygwoi36x/app.bsky.feed.generator/aaagt6amuur5e,suggested_labelerexp,at://did:plc:tcyy7qlhuk5vyz7vmxxmddrv/app.bsky.feed.post/3mftumkb3uk25,bafyreibikynqurswffhobubu6ck6awy5iymhfhn7wphahq3r7fahhj42qy,did:plc:tcyy7qlhuk5vyz7vmxxmddrv,sffchat.bsky.social,2026-02-27T13:59:24.082Z,2026-02-27T13:59:21.862Z,#SFFChat
e41f0bfb40724dfda9f435c5ea899768,2026-02-27T14:00:00Z,2026-02-27T14:16:51Z,auth,auth_enUS_labelerexp,at://did:plc:abv47bjgzjgoh3yrygwoi36x/app.bsky.feed.generator/aaagt6amuur5e,suggested_labelerexp,at://did:plc:4wianc4cqgtluv4gjhvgaths/app.bsky.feed.post/3mftum7jcav2j,bafyreifnxopdjqpcc3vjg2d7zesdxmicx65brdha6bsykwwx23ipuh5niu,did:plc:4wianc4cqgtluv4gjhvgaths,qcindiedotcom.bsky.social,2026-02-27T13:59:12.407817Z,2026-02-27T13:59:13.955Z,#NowPlaying Shade - She Told Me on https://QCIndie.com #qcindie #regina #yqr #indierock #radio #internetradio
e41f0bfb40724dfda9f435c5ea899768,2026-02-27T14:00:00Z,2026-02-27T14:16:51Z,auth,auth_enUS_labelerexp,at://did:plc:abv47bjgzjgoh3yrygwoi36x/app.bsky.feed.generator/aaagt6amuur5e,suggested_labelerexp,at://did:plc:k32m7mut6657mcyr7rmh3wbx/app.bsky.feed.post/3mftulybhx22g,bafyreiad5mwazqkzftvwhpe7w3g6nq5j34y4a2x4ybsba3xpllwgsuhvue,did:plc:k32m7mut6657mcyr7rmh3wbx,analogassasin.bsky.social,2026-02-27T13:59:05.216Z,2026-02-27T13:59:09.261Z,"“… it’s still dark …”

#typewriter #poetry"
e41f0bfb40724dfda9f435c5ea899768,2026-02-27T14:00:00Z,2026-02-27T14:16:51Z,auth,auth_enUS_labelerexp,at://did:plc:abv47bjgzjgoh3yrygwoi36x/app.bsky.feed.generator/aaagt6amuur5e,suggested_labelerexp,at://did:plc:idv7h5nblkpmulicndtcauno/app.bsky.feed.post/3mftulxkr3m2q,bafyreifdqwbxnpud5wmizycyas2psscpogycpqmzsf7atcy5medhiis7jq,did:plc:idv7h5nblkpmulicndtcauno,mightypigeon.bsky.social,2026-02-27T13:59:04.438Z,2026-02-27T13:59:06.153Z,"Some new art for ya! I’ve been wanting to draw a greenhouse for a while now and I finally sat down and did it. This little green thumbed gal has a message for you— patience is key!

#kidlitart #illustration #childrensbookillustration"
e41f0bfb40724dfda9f435c5ea899768,2026-02-27T14:00:00Z,2026-02-27T14:16:51Z,auth,auth_enUS_labelerexp,at://did:plc:abv47bjgzjgoh3yrygwoi36x/app.bsky.feed.generator/aaagt6amuur5e,suggested_labelerexp,at://did:plc:xaofuhzf2d4zw7cj3dxcg7up/app.bsky.feed.post/3mftulwd5ri2j,bafyreif2yod435aago7eq444hfpmq25sbtz4foy3a6spg63apdvucab5wa,did:plc:xaofuhzf2d4zw7cj3dxcg7up,mycelialwriter.bsky.social,2026-02-27T13:59:02.997Z,2026-02-27T13:59:03.853Z,"Interested in starting The Chrysillium Saga? The story begins here...

A girl with a hidden past.
A tree with ancient power.
A peace treaty on the edge of ruin.

🌿 The Chrysillium Tree 🌿
Available now
🔗 in bio
#BookSky #FantasyBooks #IndieAuthor"
