run_id,snapshot_hour_utc,captured_at_utc,viewer_mode,vantage_id,feed_uri,bucket,post_uri,post_cid,author_did,author_handle,record_created_at,indexed_at,text
d1df45b21ab345d39c001fb4115cfb0d,2026-02-26T07:00:00Z,2026-02-26T07:15:11Z,auth,auth_enUS_labelerexp,at://did:plc:3sn6bogankaicebzdb7liro3/app.bsky.feed.generator/aaaclmwsj24p6,suggested_labelerexp,at://did:plc:b4o27tf7dzv6yrxdoevn7qtz/app.bsky.feed.post/3mfqn2zztuk2u,bafyreic5vvch7423edd4uthyxko63q3ks2fyzeuvnboaqxwqym45r2sjl4,did:plc:b4o27tf7dzv6yrxdoevn7qtz,thelancetendo.bsky.social,2026-02-26T07:06:21.234Z,2026-02-26T07:06:58.856Z,"From survival to freedom: redefining success in type 1 #diabetes www.thelancet.com/journals/lan... 
#T1D 

#MedSky #EndoSky"
d1df45b21ab345d39c001fb4115cfb0d,2026-02-26T07:00:00Z,2026-02-26T07:15:11Z,auth,auth_enUS_labelerexp,at://did:plc:3sn6bogankaicebzdb7liro3/app.bsky.feed.generator/aaaclmwsj24p6,suggested_labelerexp,at://did:plc:pfcga5sfcnhvkj6wrx6qjyuv/app.bsky.feed.post/3mfqm5llaoc2i,bafyreiczadsgrmwx2h67sqs5datpmwrxmgswy2idz6iji4a2y27lxnqmva,did:plc:pfcga5sfcnhvkj6wrx6qjyuv,benking01.bsky.social,2026-02-26T06:49:52.981Z,2026-02-26T06:49:55.573Z,"[2/4]

Having been back at work a couple of days, with my day-off in-between, this morning I finally feel like my body is back 'in balance' - my nervous system stable and under control; it's a weird feeling this #LongCovid #dysautonomia...

My rMSSD is back around 60ms...

[EliteHRV]"
d1df45b21ab345d39c001fb4115cfb0d,2026-02-26T07:00:00Z,2026-02-26T07:15:11Z,auth,auth_enUS_labelerexp,at://did:plc:3sn6bogankaicebzdb7liro3/app.bsky.feed.generator/aaaclmwsj24p6,suggested_labelerexp,at://did:plc:wgzfcveyoxzxcmb4gikswfwc/app.bsky.feed.post/3mfqm4mp3lc2m,bafyreidswd36srxf2zilk4k6lxeox4dhomtf7bqdhgoogqh7lssqxxcph4,did:plc:wgzfcveyoxzxcmb4gikswfwc,jinternmed.bsky.social,2026-02-26T06:49:20.616Z,2026-02-26T06:49:22.953Z,"New article to read! Epigenetic analyses suggest different pathways during pregnancy for development of Type 1 diabetes in children with high versus low-neutral human leukocyte antigen-risk.

🔗 doi.org/10.1111/joim.70077

#Epigenetic #diabetes #T1D #HLA"
d1df45b21ab345d39c001fb4115cfb0d,2026-02-26T07:00:00Z,2026-02-26T07:15:11Z,auth,auth_enUS_labelerexp,at://did:plc:3sn6bogankaicebzdb7liro3/app.bsky.feed.generator/aaaclmwsj24p6,suggested_labelerexp,at://did:plc:d7srymhd76hrscs7h52akmwy/app.bsky.feed.post/3mfqlqcrsgs2p,bafyreia2cljvtb2w5s2e2fdwhaiaohqpvuj5b5gik3bmtyefy2ajxts2rq,did:plc:d7srymhd76hrscs7h52akmwy,inovineconferences.bsky.social,2026-02-26T06:42:27.566Z,2026-02-26T06:42:31.659Z,"🚨 Hurry Up! Limited Time Remaining

Join us at the 13th International Conference on Endocrinology & Diabetes
📅 April 06–08, 2026
📍 Rome, Italy
👉 Register now and secure your spot today: endocrinologyconference.com/registration...

#endocrinology #diabetesconference"
d1df45b21ab345d39c001fb4115cfb0d,2026-02-26T07:00:00Z,2026-02-26T07:15:11Z,auth,auth_enUS_labelerexp,at://did:plc:3sn6bogankaicebzdb7liro3/app.bsky.feed.generator/aaaclmwsj24p6,suggested_labelerexp,at://did:plc:iwttznciea5inevtykrsw3mm/app.bsky.feed.post/3mfqlmw57hk2r,bafyreigatdslkqaevs27rciewxzyjvthf2habjpngtb5u53rkokes7uksu,did:plc:iwttznciea5inevtykrsw3mm,belasco.bsky.social,2026-02-26T06:40:33.647Z,2026-02-26T06:40:33.953Z,"Nope!
All the fast cuts & “eye catching” stuff is exhausting for my me/cfs riddled brain. I have a similar issue with other media, but the rapid hardcore attention grabbing format of TikTok is by far the the most consistently difficult for me."
d1df45b21ab345d39c001fb4115cfb0d,2026-02-26T07:00:00Z,2026-02-26T07:15:11Z,auth,auth_enUS_labelerexp,at://did:plc:3sn6bogankaicebzdb7liro3/app.bsky.feed.generator/aaaclmwsj24p6,suggested_labelerexp,at://did:plc:zuo7ttfhdguujnpx22nctb7a/app.bsky.feed.post/3mfqliaana22c,bafyreica4pw5n2aekkeajuxdr4wal7262giypx7wzf4olqoqlmzwcbyzw4,did:plc:zuo7ttfhdguujnpx22nctb7a,drelke.bsky.social,2026-02-26T06:37:56.472Z,2026-02-26T06:37:57.152Z,"‘Die Behandlung erfolgt symptomorientiert; das Vorliegen von PEM sollte dabei ausdrücklich berücksichtigt werden.’

#LongCovid"
d1df45b21ab345d39c001fb4115cfb0d,2026-02-26T07:00:00Z,2026-02-26T07:15:11Z,auth,auth_enUS_labelerexp,at://did:plc:3sn6bogankaicebzdb7liro3/app.bsky.feed.generator/aaaclmwsj24p6,suggested_labelerexp,at://did:plc:kmtipdnvorhyhxxybae5k6dp/app.bsky.feed.post/3mfqlg5px2s2f,bafyreiaeuhq4l6pxt7ublhp5lenxfl3io5b2n4kkdsignwfqaendwx5jya,did:plc:kmtipdnvorhyhxxybae5k6dp,penguinguynz.bsky.social,2026-02-26T06:36:46.718Z,2026-02-26T06:36:47.054Z,"Donate if you can.

#NAFOarticle3
#NAFO
#Ukraine
#DonateToUkraine
#FNDRUA
#StandWithUkraine"
d1df45b21ab345d39c001fb4115cfb0d,2026-02-26T07:00:00Z,2026-02-26T07:15:11Z,auth,auth_enUS_labelerexp,at://did:plc:3sn6bogankaicebzdb7liro3/app.bsky.feed.generator/aaaclmwsj24p6,suggested_labelerexp,at://did:plc:kmtipdnvorhyhxxybae5k6dp/app.bsky.feed.post/3mfqlahoups2f,bafyreie5skjk7nwnhy2e7545ypuvmp7pzuajzz2z3ufkvhtagsdikcusaa,did:plc:kmtipdnvorhyhxxybae5k6dp,penguinguynz.bsky.social,2026-02-26T06:33:35.843Z,2026-02-26T06:33:36.758Z,"Donate if you can.

#NAFOarticle3
#NAFO
#Ukraine
#DonateToUkraine
#FNDRUA
#StandWithUkraine

See thread to see where the money goes and how to donate."
d1df45b21ab345d39c001fb4115cfb0d,2026-02-26T07:00:00Z,2026-02-26T07:15:11Z,auth,auth_enUS_labelerexp,at://did:plc:3sn6bogankaicebzdb7liro3/app.bsky.feed.generator/aaaclmwsj24p6,suggested_labelerexp,at://did:plc:stocg5u4k5e3m6yp3c37q5sn/app.bsky.feed.post/3mfql6oi7o224,bafyreidyfvp3ehjetpgi4i4wx7t7umro4j6algo6jv5a27kplo75pfsy5a,did:plc:stocg5u4k5e3m6yp3c37q5sn,whoisjken.bsky.social,2026-02-26T06:32:35.837Z,2026-02-26T06:32:41.051Z,"Tonight's belated birthday dinner with members of my extended #VoiceActor family. Grateful for them for a decade now(!)

Much bread was consumed (by Steve), and birthday songs will never be the same.

#VOLife #VoiceActing #CancerSurvivor"
d1df45b21ab345d39c001fb4115cfb0d,2026-02-26T07:00:00Z,2026-02-26T07:15:11Z,auth,auth_enUS_labelerexp,at://did:plc:3sn6bogankaicebzdb7liro3/app.bsky.feed.generator/aaaclmwsj24p6,suggested_labelerexp,at://did:plc:5pu32gr3acpes57ibfmlafwu/app.bsky.feed.post/3mfql4msicq2c,bafyreiafqctngpphfwcz6wt5dybqcyp5z47n4p4iqosmjdjahvomlqp6rm,did:plc:5pu32gr3acpes57ibfmlafwu,crohns-disease.org.uk,2026-02-26T06:31:26.812Z,2026-02-26T06:31:27.656Z,"Navigating Crohn's in children? It’s a challenge, yet every little routine helps! Talk symptoms, track patterns, and remember you’re not alone. Share tips or questions below! #Crohns #ChildHealth https://crhns.uk/crohnsdiseaseinchildren"
