2026-03-03T21:20:10Z INFO bsky_collector_v2: out_base ok path=D:\BlueSky\data_v2_full mount=D:\
2026-03-03T21:20:10Z INFO bsky_collector_v2: job start subcommand=index-feed-generators dry_run=False resume=True
2026-03-03T21:38:21Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:itexx4oq3pfkynferftk5iss err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:38:54Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:mpytkmmkffdczviraeptwgzt err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:39:27Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:n73ebi4ug7fr56gtjwoybyf3 err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:39:59Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:qfqxbxhluay4kndoctzfvk56 err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:40:32Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:ynufnjniqlxjiyia44ifvjlr err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:40:33Z INFO bsky_collector_v2.job.index_feed_generators: enqueued repos page=1 mode=listRepos inserted=500 repos_returned=500 next_cursor=set
2026-03-03T21:40:34Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:2fvltsxemha4zx5gqyeg7sxx err=HttpError('InvalidRequest: Could not find repo: did:plc:2fvltsxemha4zx5gqyeg7sxx')
2026-03-03T21:41:08Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:2qrhtiee6w5f7vakcxbrn3tg err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:41:47Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:44wyxnuclhblfwhzqgcwv4io err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:42:36Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:7x4u45wuo7xuv34m5yngktg2 err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:43:19Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:bzsjzug7c7diihxrz353kgrd err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:43:51Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:c4tlmq2t2i52wd5asd3c7b2v err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:44:24Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:c7da673oa44bakfvmmaqhwmi err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:45:11Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:fm4oaxjootjy4tn7lggab6ju err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:45:44Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:fts6n7s2uwi7bfsuvny7mks2 err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:45:53Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:iiyf2ri7soge4ucrjkxs6trb err=HttpError('InvalidRequest: Could not find repo: did:plc:iiyf2ri7soge4ucrjkxs6trb')
2026-03-03T21:46:26Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:imoqkg25v5wr7bjd5yfqkwwu err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:47:15Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:mznsl5ggt77smlhaodt3sizp err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:47:53Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:ogxyrjw55oiph7cubqr3vmwu err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:48:31Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:pj7nsk53ynyrlxru5kplvgqk err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:49:24Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:tnjmzvkgwwsark5w65r64d52 err=HttpError('InternalServerError: Internal Server Error')
