context_id,scheduled_window_start_utc,scheduled_window_end_utc,viewer_mode,vantage_id,feed_uri,bucket,cluster_text,riskset_size,context_total_y,shown_count,zero_exposure_count,gap_equal,gap_timing_residual
624,2026-03-21T21:20:00Z,2026-03-21T21:30:00Z,auth,auth,at://did:plc:tpsmmglg2coilcnma7cuhk54/app.bsky.feed.generator/aaag7pqa723cq,longtail_random,bsky.app/profile/did:...,4,0.1810425967800402,1,3,0.75,0.9902103375105962
704,2026-03-22T02:20:00Z,2026-03-22T02:30:00Z,unauth,unauth,at://did:plc:yw5jldlnuker4mb7ttyqephb/app.bsky.feed.generator/aaabgn53jpxru,popular_by_likecount,www.theguardian.com/world/2026/m...,6,0.21533827903669653,1,5,0.8333333333333335,0.9900918743519471
1111,2026-03-23T09:00:00Z,2026-03-23T09:10:00Z,unauth,unauth,at://did:plc:sedh7uwyebi77rjdj6rpmhoq/app.bsky.feed.generator/aaape3jm3b5gi,longtail_random,lmao,3,0.6309297535714575,1,2,0.6666666666666666,0.9879253301425965
618,2026-03-21T21:10:00Z,2026-03-21T21:20:00Z,unauth,unauth,at://did:plc:tpsmmglg2coilcnma7cuhk54/app.bsky.feed.generator/aaag7pqa723cq,longtail_random,bsky.app/profile/did:...,4,0.1810425967800402,1,3,0.75,0.9870602101804445
309,2026-03-20T21:20:00Z,2026-03-20T21:30:00Z,unauth,unauth,at://did:plc:fe4z2vyyrc7zkrwc3vgdxykm/app.bsky.feed.generator/aaaot2pdkwctq,popular_by_likecount,happy friday!,2,0.23540891336663824,1,1,0.5,0.9862602417219579
1181,2026-03-23T13:40:00Z,2026-03-23T13:50:00Z,auth,auth,at://did:plc:6vrf44pabqhagogoibjbc42y/app.bsky.feed.generator/aaanwmje6fjv2,popular_by_likecount,#oc,5,0.18316925091363362,1,4,0.8,0.9815313223326299
2059,2026-03-30T05:40:00Z,2026-03-30T05:50:00Z,auth,auth,at://did:plc:4ohogodxdernofx3m6lhcd2a/app.bsky.feed.generator/aaanejfp2tgzs,popular_by_likecount,'hilfsmittel' #fotovorschlag,5,0.23137821315975915,1,4,0.8,0.9814926499324277
2056,2026-03-30T05:30:00Z,2026-03-30T05:40:00Z,unauth,unauth,at://did:plc:4ohogodxdernofx3m6lhcd2a/app.bsky.feed.generator/aaanejfp2tgzs,popular_by_likecount,'hilfsmittel' #fotovorschlag,5,0.23137821315975915,1,4,0.8,0.9811732998869807
2052,2026-03-30T05:10:00Z,2026-03-30T05:20:00Z,auth,auth,at://did:plc:4ohogodxdernofx3m6lhcd2a/app.bsky.feed.generator/aaanejfp2tgzs,popular_by_likecount,'hilfsmittel' #fotovorschlag,5,0.23137821315975915,1,4,0.8,0.9804900993851493
1442,2026-03-25T20:20:00Z,2026-03-25T20:30:00Z,unauth,unauth,at://did:plc:3nosbggayyzhuibpqhur4fz3/app.bsky.feed.generator/aaaa6ipylhqkq,longtail_random,solidarität mit collien fernandes: gewalt gegen frauen - auch online - muss geahndet werden. männliche gewalt muss endlich strafverfolgt werden. jetzt unterzeichnen ✍️ weact.campact.de/petitions/in...,3,0.1781035935540111,1,2,0.6666666666666666,0.9796715778049377
1439,2026-03-25T20:10:00Z,2026-03-25T20:20:00Z,unauth,unauth,at://did:plc:3nosbggayyzhuibpqhur4fz3/app.bsky.feed.generator/aaaa6ipylhqkq,longtail_random,solidarität mit collien fernandes: gewalt gegen frauen - auch online - muss geahndet werden. männliche gewalt muss endlich strafverfolgt werden. jetzt unterzeichnen ✍️ weact.campact.de/petitions/in...,3,0.1781035935540111,1,2,0.6666666666666666,0.9788573966650628
