context_id,scheduled_window_start_utc,scheduled_window_end_utc,viewer_mode,vantage_id,feed_uri,bucket,cluster_text,riskset_size,context_total_y,shown_count,zero_exposure_count,gap_equal,gap_timing_residual,gap_full_residual
40645,2026-03-30T00:40:00Z,2026-03-30T00:50:00Z,auth,auth,at://did:plc:yw3ftt33cods34tk3575b6ej/app.bsky.feed.generator/aaahs7u2u3zam,longtail_random,#nokings,25,0.20801459767650948,1,24,0.9600000000000001,0.9905472416735814,0.9882836190957331
40658,2026-03-30T00:50:00Z,2026-03-30T01:00:00Z,auth,auth,at://did:plc:yw3ftt33cods34tk3575b6ej/app.bsky.feed.generator/aaahs7u2u3zam,longtail_random,#nokings,24,0.20801459767650948,1,23,0.9583333333333334,0.9902233437569261,0.9878341438781589
32289,2026-03-26T06:00:00Z,2026-03-26T06:10:00Z,auth,auth,at://did:plc:4yxma22dnuidplec7x2ogvv5/app.bsky.feed.generator/aaanfyz23cmbo,popular_by_likecount,post a non-religious picture you think of as holy,33,0.17629143438888212,1,32,0.9696969696969696,0.9901889735074642,0.9914940803776303
32267,2026-03-26T05:50:00Z,2026-03-26T06:00:00Z,unauth,unauth,at://did:plc:4yxma22dnuidplec7x2ogvv5/app.bsky.feed.generator/aaanfyz23cmbo,popular_by_likecount,post a non-religious picture you think of as holy,31,0.17905223175104137,1,30,0.9677419354838708,0.9900377143799943,0.9913818827760186
32287,2026-03-26T05:50:00Z,2026-03-26T06:00:00Z,auth,auth,at://did:plc:4yxma22dnuidplec7x2ogvv5/app.bsky.feed.generator/aaanfyz23cmbo,popular_by_likecount,post a non-religious picture you think of as holy,31,0.17905223175104137,1,30,0.9677419354838708,0.9900377143799943,0.9913818827760186
34670,2026-03-26T16:40:00Z,2026-03-26T16:50:00Z,auth,auth,at://did:plc:oysltsbhgk4g3tnulqgbvm3z/app.bsky.feed.generator/aaaggavpxqmxm,longtail_random,post a non-religious picture you think of as holy,54,0.21810429198553155,1,53,0.9814814814814817,0.9899858081348097,0.9894149874543499
40682,2026-03-30T01:00:00Z,2026-03-30T01:10:00Z,unauth,unauth,at://did:plc:yw3ftt33cods34tk3575b6ej/app.bsky.feed.generator/aaahs7u2u3zam,longtail_random,#nokings,24,0.2037950470905062,1,23,0.9583333333333334,0.9899010154575488,0.9874301525956137
33020,2026-03-26T09:10:00Z,2026-03-26T09:20:00Z,auth,auth,at://did:plc:p7cq6edupmqugrinomiuju6u/app.bsky.feed.generator/aaaioyqcva6ak,longtail_random,post a non-religious picture you think of as holy,39,0.1781035935540111,1,38,0.974358974358974,0.9897444895046281,0.9911897833437388
2621,2026-03-19T19:10:00Z,2026-03-19T19:20:00Z,unauth,unauth,at://did:plc:lcn5zsz2e7kjwoe4ldf3chr5/app.bsky.feed.generator/aaangplovi6dw,popular_by_likecount,'umrisse' #fotovorschlag,89,0.1854490234153689,1,88,0.9887640449438203,0.9896714956866949,0.9902422945808682
32822,2026-03-26T08:30:00Z,2026-03-26T08:40:00Z,auth,auth,at://did:plc:p7cq6edupmqugrinomiuju6u/app.bsky.feed.generator/aaaioyqcva6ak,longtail_random,post a non-religious picture you think of as holy,36,0.1810425967800402,1,35,0.972222222222222,0.9894559357734207,0.9907116582803338
40528,2026-03-30T00:20:00Z,2026-03-30T00:30:00Z,auth,auth,at://did:plc:nblqefnc2qwy7nt5misrkuqs/app.bsky.feed.generator/aaaj7xz4ehqda,longtail_random,#nokings,25,0.2559580248098155,1,24,0.96,0.9893806405226406,0.9858421149507681
31945,2026-03-26T04:10:00Z,2026-03-26T04:20:00Z,auth,auth,at://did:plc:p7cq6edupmqugrinomiuju6u/app.bsky.feed.generator/aaaioyqcva6ak,longtail_random,post a non-religious picture you think of as holy,27,0.2037950470905062,1,26,0.9629629629629628,0.9891706917094797,0.9900762877977192
32285,2026-03-26T05:50:00Z,2026-03-26T06:00:00Z,auth,auth,at://did:plc:oschakwegjlboctmgutqtyf6/app.bsky.feed.generator/aaacyaeibxzis,popular_by_likecount,post a non-religious picture you think of as holy,31,0.25,1,30,0.9677419354838708,0.9889462146916753,0.9884463577064442
40539,2026-03-30T00:30:00Z,2026-03-30T00:40:00Z,unauth,unauth,at://did:plc:nblqefnc2qwy7nt5misrkuqs/app.bsky.feed.generator/aaaj7xz4ehqda,longtail_random,#nokings,25,0.2559580248098155,1,24,0.96,0.9889448970364783,0.9852668560898905
40360,2026-03-29T23:50:00Z,2026-03-30T00:00:00Z,auth,auth,at://did:plc:6ull3ud7oixydtol5bplg56j/app.bsky.feed.generator/aaaku346f6oye,longtail_random,#nokings,25,0.25,1,24,0.96,0.9886853098242228,0.9848361636719745
40362,2026-03-29T23:50:00Z,2026-03-30T00:00:00Z,unauth,unauth,at://did:plc:kqbyr4gqt6p2l57htlsa4nha/app.bsky.feed.generator/aaagog4rhan5o,popular_by_likecount,#nokings,25,0.21810429198553155,1,24,0.96,0.9886853098242228,0.9848361636719745
33064,2026-03-26T09:30:00Z,2026-03-26T09:40:00Z,auth,auth,at://did:plc:x3cya3wkt4n6u4ihmvpsc5if/app.bsky.feed.generator/aaacynbxwimok,popular_by_likecount,post a non-religious picture you think of as holy,43,0.26264953503719357,1,42,0.9767441860465117,0.9883704182991526,0.9887387017216953
32528,2026-03-26T07:10:00Z,2026-03-26T07:20:00Z,unauth,unauth,at://did:plc:oschakwegjlboctmgutqtyf6/app.bsky.feed.generator/aaacyaeibxzis,popular_by_likecount,post a non-religious picture you think of as holy,35,0.24465054211822604,1,34,0.9714285714285712,0.9883066031581736,0.9875051639768317
34488,2026-03-26T16:00:00Z,2026-03-26T16:10:00Z,auth,auth,at://did:plc:oysltsbhgk4g3tnulqgbvm3z/app.bsky.feed.generator/aaaggavpxqmxm,longtail_random,post a non-religious picture you think of as holy,52,0.22424382421757544,1,51,0.9807692307692306,0.9882594940023093,0.9875571650795886
35035,2026-03-26T19:20:00Z,2026-03-26T19:30:00Z,unauth,unauth,at://did:plc:3mrguaooj5oukbjakyj727zl/app.bsky.feed.generator/aaanclvgedpbe,longtail_random,post a non-religious picture you think of as holy,51,0.23981246656813146,1,50,0.980392156862745,0.9880761113849623,0.9884079271772868
34545,2026-03-26T16:10:00Z,2026-03-26T16:20:00Z,auth,auth,at://did:plc:3mrguaooj5oukbjakyj727zl/app.bsky.feed.generator/aaanclvgedpbe,longtail_random,post a non-religious picture you think of as holy,52,0.2559580248098155,1,51,0.9807692307692306,0.9878694231449532,0.9882816499374378
