run_id,snapshot_hour_utc,captured_at_utc,viewer_mode,vantage_id,post_uri,post_cid,label_src,label_val,label_neg,label_uri,label_cts
8a461f2299094e60ac2aa428308b8683,2026-02-21T05:00:00Z,2026-02-21T05:34:49Z,auth,auth_enUS_labelerexp,at://did:plc:3sn6bogankaicebzdb7liro3/app.bsky.feed.post/3k3icg5ynmh2r,bafyreidwzmwwj2s4mhq64b7afyygzid4tqgauw2u3xnlndsldbupj4s3ne,did:plc:3sn6bogankaicebzdb7liro3,!no-unauthenticated,,at://did:plc:3sn6bogankaicebzdb7liro3/app.bsky.actor.profile/self,1970-01-01T00:00:00.000Z
8a461f2299094e60ac2aa428308b8683,2026-02-21T05:00:00Z,2026-02-21T05:34:49Z,auth,auth_enUS_labelerexp,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mfduzwzves2u,bafyreiciwsxagpzcx27lsbdtklmlgveg2l4x6eziu7pf6w6vvdx2tphvsm,did:plc:ar7c4by46qjdydhdevvrndac,needs-review,,did:plc:ndjyym3ihrqu3g25gdztefrv,2026-02-19T07:47:08.204Z
8a461f2299094e60ac2aa428308b8683,2026-02-21T05:00:00Z,2026-02-21T05:34:49Z,auth,auth_enUS_labelerexp,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mfduwn7hls2u,bafyreiexkyliocnqi54z2kdabqzrqp454wr3chnefqkpmmbquotk4vxsla,did:plc:ar7c4by46qjdydhdevvrndac,needs-review,,did:plc:ndjyym3ihrqu3g25gdztefrv,2026-02-19T07:47:08.204Z
8a461f2299094e60ac2aa428308b8683,2026-02-21T05:00:00Z,2026-02-21T05:34:49Z,auth,auth_enUS_labelerexp,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mfdunjjatc2u,bafyreigex6u7ton44y5h4y73rmspxofcrrs5srpvzq6jak7drut5lvifbi,did:plc:ar7c4by46qjdydhdevvrndac,needs-review,,did:plc:ndjyym3ihrqu3g25gdztefrv,2026-02-19T07:47:08.204Z
8a461f2299094e60ac2aa428308b8683,2026-02-21T05:00:00Z,2026-02-21T05:34:49Z,auth,auth_enUS_labelerexp,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mfdul6mcfv2m,bafyreieldx3dp7ebs2vhodaduatj73f6q3onrzifpt4bu7qs3qzb5xpzoq,did:plc:ar7c4by46qjdydhdevvrndac,needs-review,,did:plc:ndjyym3ihrqu3g25gdztefrv,2026-02-19T07:47:08.204Z
8a461f2299094e60ac2aa428308b8683,2026-02-21T05:00:00Z,2026-02-21T05:34:49Z,auth,auth_enUS_labelerexp,at://did:plc:g63ev7zwmxtlic43tu5pxl4c/app.bsky.feed.post/3mfdumimu2qe2,bafyreifc5wir5yeksgfzdfjjax7w7hyokpuhknbrkmziwynz5xrx4qa2ja,did:plc:g63ev7zwmxtlic43tu5pxl4c,bridged-from-bridgy-fed-activitypub,,at://did:plc:g63ev7zwmxtlic43tu5pxl4c/app.bsky.actor.profile/self,1970-01-01T00:00:00.000Z
8a461f2299094e60ac2aa428308b8683,2026-02-21T05:00:00Z,2026-02-21T05:34:49Z,auth,auth_enUS_labelerexp,at://did:plc:yx3p3ullgoeko4rryziojovz/app.bsky.feed.post/3mfdstcobuc2z,bafyreigtpkr3ydrdgklm3h4avnvguvpnuf7cjtzwglmreaeex2hw4hzalm,did:plc:uac6er53o2pvr5y2qmvaf7hw,abusive,,did:plc:yx3p3ullgoeko4rryziojovz,2024-12-28T00:21:55.228Z
8a461f2299094e60ac2aa428308b8683,2026-02-21T05:00:00Z,2026-02-21T05:34:49Z,auth,auth_enUS_labelerexp,at://did:plc:yx3p3ullgoeko4rryziojovz/app.bsky.feed.post/3mfdstcobuc2z,bafyreigtpkr3ydrdgklm3h4avnvguvpnuf7cjtzwglmreaeex2hw4hzalm,did:plc:uac6er53o2pvr5y2qmvaf7hw,blocks,,did:plc:yx3p3ullgoeko4rryziojovz,2024-12-03T19:19:31.389Z
8a461f2299094e60ac2aa428308b8683,2026-02-21T05:00:00Z,2026-02-21T05:34:49Z,auth,auth_enUS_labelerexp,at://did:plc:yx3p3ullgoeko4rryziojovz/app.bsky.feed.post/3mfdstcobuc2z,bafyreigtpkr3ydrdgklm3h4avnvguvpnuf7cjtzwglmreaeex2hw4hzalm,did:plc:uac6er53o2pvr5y2qmvaf7hw,disinfo,,did:plc:yx3p3ullgoeko4rryziojovz,2024-12-28T00:21:55.228Z
8a461f2299094e60ac2aa428308b8683,2026-02-21T05:00:00Z,2026-02-21T05:34:49Z,auth,auth_enUS_labelerexp,at://did:plc:yx3p3ullgoeko4rryziojovz/app.bsky.feed.post/3mfdstcobuc2z,bafyreigtpkr3ydrdgklm3h4avnvguvpnuf7cjtzwglmreaeex2hw4hzalm,did:plc:uac6er53o2pvr5y2qmvaf7hw,violent,,did:plc:yx3p3ullgoeko4rryziojovz,2024-12-28T00:21:55.228Z
8a461f2299094e60ac2aa428308b8683,2026-02-21T05:00:00Z,2026-02-21T05:34:49Z,auth,auth_enUS_labelerexp,at://did:plc:mbjcsuarqwrfzvjv2lpjwas7/app.bsky.feed.post/3mfdsqbrp4c2i,bafyreibte6dbnmi6p7locewawlm7nd7tsx2rabfmaki7nbq6ws4tst7viy,did:plc:uac6er53o2pvr5y2qmvaf7hw,disinfo-link,,at://did:plc:mbjcsuarqwrfzvjv2lpjwas7/app.bsky.feed.post/3mfdsqbrp4c2i,2026-02-21T04:43:08.178Z
8a461f2299094e60ac2aa428308b8683,2026-02-21T05:00:00Z,2026-02-21T05:34:49Z,auth,auth_enUS_labelerexp,at://did:plc:mbjcsuarqwrfzvjv2lpjwas7/app.bsky.feed.post/3mfdsqbrp4c2i,bafyreibte6dbnmi6p7locewawlm7nd7tsx2rabfmaki7nbq6ws4tst7viy,did:plc:mbjcsuarqwrfzvjv2lpjwas7,!no-unauthenticated,,at://did:plc:mbjcsuarqwrfzvjv2lpjwas7/app.bsky.actor.profile/self,1970-01-01T00:00:00.000Z
8a461f2299094e60ac2aa428308b8683,2026-02-21T05:00:00Z,2026-02-21T05:34:49Z,auth,auth_enUS_labelerexp,at://did:plc:aa5cy4s4p5hh4sd5z6ky4iut/app.bsky.feed.post/3mfdqmeon4c2t,bafyreifdkha4lg6bfhktcbdrbkkqyzm62rtlb47n4qhdqp6eriyzzbdxbe,did:plc:aa5cy4s4p5hh4sd5z6ky4iut,!no-unauthenticated,,at://did:plc:aa5cy4s4p5hh4sd5z6ky4iut/app.bsky.actor.profile/self,1970-01-01T00:00:00.000Z
8a461f2299094e60ac2aa428308b8683,2026-02-21T05:00:00Z,2026-02-21T05:34:49Z,auth,auth_enUS_labelerexp,at://did:plc:6qg5d7knjlfkqru5x5rms6im/app.bsky.feed.post/3mfdqlkpt6c2s,bafyreiaebysobyxqy5fhqos5shwepb744cclylk7hgakcqigxdk5ts6d4i,did:plc:6qg5d7knjlfkqru5x5rms6im,!no-unauthenticated,,at://did:plc:6qg5d7knjlfkqru5x5rms6im/app.bsky.actor.profile/self,2024-11-11T04:27:16.287Z
8a461f2299094e60ac2aa428308b8683,2026-02-21T05:00:00Z,2026-02-21T05:34:49Z,auth,auth_enUS_labelerexp,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mfdql6grmz2h,bafyreia6kxto3233sioc7z4kcgtmyms36hpzmsd4qkwos6a2fde6cqsafq,did:plc:ar7c4by46qjdydhdevvrndac,needs-review,,did:plc:ndjyym3ihrqu3g25gdztefrv,2026-02-19T07:47:08.204Z
8a461f2299094e60ac2aa428308b8683,2026-02-21T05:00:00Z,2026-02-21T05:34:49Z,auth,auth_enUS_labelerexp,at://did:plc:qqld64hxsftlnkokqzz6pbuo/app.bsky.feed.post/3mfdqklxn46q2,bafyreidlr2fanvqui3adot2q63ao6avdqsa3qbzvfwumcvnhdceuxcsohy,did:plc:qqld64hxsftlnkokqzz6pbuo,bridged-from-bridgy-fed-activitypub,,at://did:plc:qqld64hxsftlnkokqzz6pbuo/app.bsky.actor.profile/self,1970-01-01T00:00:00.000Z
8a461f2299094e60ac2aa428308b8683,2026-02-21T05:00:00Z,2026-02-21T05:34:49Z,auth,auth_enUS_labelerexp,at://did:plc:rbc5qboqtdfylqz2aylrdaon/app.bsky.feed.post/3mfdqk7l6j22l,bafyreicpjg2devyh7pblfy6zzfeob3o3mn5sb7loxfx6vybeqxhuqw3dka,did:plc:rbc5qboqtdfylqz2aylrdaon,!no-unauthenticated,,at://did:plc:rbc5qboqtdfylqz2aylrdaon/app.bsky.actor.profile/self,1970-01-01T00:00:00.000Z
8a461f2299094e60ac2aa428308b8683,2026-02-21T05:00:00Z,2026-02-21T05:34:49Z,auth,auth_enUS_labelerexp,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mfdqitpbjo2n,bafyreicyt47lbefjdi2egsgvtuuzudpuigupigthgrfvdebzh5y236p3yu,did:plc:ar7c4by46qjdydhdevvrndac,needs-review,,did:plc:ndjyym3ihrqu3g25gdztefrv,2026-02-19T07:47:08.204Z
8a461f2299094e60ac2aa428308b8683,2026-02-21T05:00:00Z,2026-02-21T05:34:49Z,auth,auth_enUS_labelerexp,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mfdpepvaez2b,bafyreig3zqrnexzsrnah7ipuzfknx5e3wf4xul3bh3l6ak27twxwqszscy,did:plc:ar7c4by46qjdydhdevvrndac,needs-review,,did:plc:ndjyym3ihrqu3g25gdztefrv,2026-02-19T07:47:08.204Z
8a461f2299094e60ac2aa428308b8683,2026-02-21T05:00:00Z,2026-02-21T05:34:49Z,auth,auth_enUS_labelerexp,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mfdpbf5f6f2n,bafyreia4cfffdaggbl3z2zl7yzfxvsx5ouqggepgg7sg3d3rmesocyxcs4,did:plc:ar7c4by46qjdydhdevvrndac,needs-review,,did:plc:ndjyym3ihrqu3g25gdztefrv,2026-02-19T07:47:08.204Z
8a461f2299094e60ac2aa428308b8683,2026-02-21T05:00:00Z,2026-02-21T05:34:49Z,auth,auth_enUS_labelerexp,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mfdobhzcfu2n,bafyreien7gxmrayfqorl2ni5xny6hi6nglcnkvvw2kmareajyhoihoygny,did:plc:ar7c4by46qjdydhdevvrndac,needs-review,,did:plc:ndjyym3ihrqu3g25gdztefrv,2026-02-19T07:47:08.204Z
8a461f2299094e60ac2aa428308b8683,2026-02-21T05:00:00Z,2026-02-21T05:34:49Z,auth,auth_enUS_labelerexp,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mfdo74btft2h,bafyreih3522omtqv2cyyusa5lwmhcoerg3w3jb3x76hbrcs4oghwlahhfa,did:plc:ar7c4by46qjdydhdevvrndac,needs-review,,did:plc:ndjyym3ihrqu3g25gdztefrv,2026-02-19T07:47:08.204Z
8a461f2299094e60ac2aa428308b8683,2026-02-21T05:00:00Z,2026-02-21T05:34:49Z,auth,auth_enUS_labelerexp,at://did:plc:xfby3tkxscrmqz4pd6trvsw7/app.bsky.feed.post/3mfdnb4r7xc2j,bafyreiec6dao2i4wj5uyiak2ia2hxiy3k4dwaylk2757o7ot4eo7jbiodu,did:plc:xfby3tkxscrmqz4pd6trvsw7,!no-unauthenticated,,at://did:plc:xfby3tkxscrmqz4pd6trvsw7/app.bsky.actor.profile/self,1970-01-01T00:00:00.000Z
8a461f2299094e60ac2aa428308b8683,2026-02-21T05:00:00Z,2026-02-21T05:34:51Z,auth,auth_enUS_labelerexp,at://did:plc:clo6mvhxhig33df45ykxcasf/app.bsky.feed.post/3mfdujlksz22m,bafyreic27lga372yw7g5xjrsvn647wt4dx54oemnyoq2olplvob4bncuam,did:plc:clo6mvhxhig33df45ykxcasf,!no-unauthenticated,,at://did:plc:clo6mvhxhig33df45ykxcasf/app.bsky.actor.profile/self,1970-01-01T00:00:00.000Z
