run_id,snapshot_hour_utc,captured_at_utc,viewer_mode,vantage_id,post_uri,post_cid,label_src,label_val,label_neg,label_uri,label_cts
7d709b412d9f44799594c5ad30a7f6a7,2026-02-26T11:00:00Z,2026-02-26T11:15:18Z,auth,auth_enUS_labelerexp,at://did:plc:oxwittlri2hrvpek444iog4u/app.bsky.feed.post/3mfm6az3igc2l,bafyreibuq2ojtemhx5l6bj6x2wellcotjhuzkwz7pln6x77twrntz32xiu,did:plc:oxwittlri2hrvpek444iog4u,!no-unauthenticated,,at://did:plc:oxwittlri2hrvpek444iog4u/app.bsky.actor.profile/self,2024-03-07T20:01:56.107Z
7d709b412d9f44799594c5ad30a7f6a7,2026-02-26T11:00:00Z,2026-02-26T11:15:18Z,auth,auth_enUS_labelerexp,at://did:plc:zeatywrcbypqc6sfp623z7fy/app.bsky.feed.post/3mfm5ngrvek27,bafyreibnb2px3rulpdvolqpq6imwlujo7ii4vylxnlnbnlmx7ikpthictu,did:plc:uac6er53o2pvr5y2qmvaf7hw,x-link,,at://did:plc:zeatywrcbypqc6sfp623z7fy/app.bsky.feed.post/3mfm5ngrvek27,2026-02-24T12:19:46.962Z
7d709b412d9f44799594c5ad30a7f6a7,2026-02-26T11:00:00Z,2026-02-26T11:15:18Z,auth,auth_enUS_labelerexp,at://did:plc:e7ymumchmmvsezwfivvuc2kd/app.bsky.feed.post/3mfn23kzl2c24,bafyreifu53w3n5ph7eomthe7egpdxbzdvbcxorbljynqoqtbjn63fyi2ey,did:plc:e7ymumchmmvsezwfivvuc2kd,!no-unauthenticated,,at://did:plc:e7ymumchmmvsezwfivvuc2kd/app.bsky.actor.profile/self,2024-10-17T18:53:00.206Z
7d709b412d9f44799594c5ad30a7f6a7,2026-02-26T11:00:00Z,2026-02-26T11:15:18Z,auth,auth_enUS_labelerexp,at://did:plc:hnesclkybua2xwypvpdnexre/app.bsky.feed.post/3mflasdttds2p,bafyreiauzbrgy56nkwxcn4zskrzw4qcvzp4susacmjnpg7z2aahf4l74dm,did:plc:uac6er53o2pvr5y2qmvaf7hw,x-link,,at://did:plc:hnesclkybua2xwypvpdnexre/app.bsky.actor.profile/self,2025-10-08T02:33:02.401Z
7d709b412d9f44799594c5ad30a7f6a7,2026-02-26T11:00:00Z,2026-02-26T11:15:18Z,auth,auth_enUS_labelerexp,at://did:plc:budn6qumxpslyz4gt5fkcxbg/app.bsky.feed.post/3mfqc2vyfe22b,bafyreigs6stvs44u5cn2faegzmajqstumz5ykjxesyq4kklfeukb53i6ka,did:plc:budn6qumxpslyz4gt5fkcxbg,!no-unauthenticated,,at://did:plc:budn6qumxpslyz4gt5fkcxbg/app.bsky.actor.profile/self,2025-01-12T17:50:33.883Z
7d709b412d9f44799594c5ad30a7f6a7,2026-02-26T11:00:00Z,2026-02-26T11:15:18Z,auth,auth_enUS_labelerexp,at://did:plc:b4gpe2g7s2ilgjskgxtn6igu/app.bsky.feed.post/3mfppafom5k2y,bafyreifjkumn7gqelhzrhlmvhnuhyylcmo2z5xxapwqrlwqsmz6qwbq6da,did:plc:b4gpe2g7s2ilgjskgxtn6igu,porn,,at://did:plc:b4gpe2g7s2ilgjskgxtn6igu/app.bsky.feed.post/3mfppafom5k2y,2026-02-25T22:12:28.942Z
7d709b412d9f44799594c5ad30a7f6a7,2026-02-26T11:00:00Z,2026-02-26T11:15:18Z,auth,auth_enUS_labelerexp,at://did:plc:xb4lxfgotlz4ybeel7ha354j/app.bsky.feed.post/3mfqmbqvgas2m,bafyreicb6c3ylfy23wxtgluwmhyxqokefqcomcjqht2wbbcva7lsnugz2u,did:plc:uac6er53o2pvr5y2qmvaf7hw,telegram-link,,at://did:plc:xb4lxfgotlz4ybeel7ha354j/app.bsky.actor.profile/self,2025-04-14T06:11:27.830Z
7d709b412d9f44799594c5ad30a7f6a7,2026-02-26T11:00:00Z,2026-02-26T11:15:18Z,auth,auth_enUS_labelerexp,at://did:plc:ute7avofjda5liq3oqssfvyg/app.bsky.feed.post/3mfnmkdol7k2o,bafyreifglwgza32cmin5cvojajxxxeokfbttdnip2bgfatlm2om4ijt22a,did:plc:ute7avofjda5liq3oqssfvyg,porn,,at://did:plc:ute7avofjda5liq3oqssfvyg/app.bsky.feed.post/3mfnmkdol7k2o,2026-02-25T02:19:01.503Z
7d709b412d9f44799594c5ad30a7f6a7,2026-02-26T11:00:00Z,2026-02-26T11:15:18Z,auth,auth_enUS_labelerexp,at://did:plc:ute7avofjda5liq3oqssfvyg/app.bsky.feed.post/3mfnmkdol7k2o,bafyreifglwgza32cmin5cvojajxxxeokfbttdnip2bgfatlm2om4ijt22a,did:plc:ute7avofjda5liq3oqssfvyg,!no-unauthenticated,,at://did:plc:ute7avofjda5liq3oqssfvyg/app.bsky.actor.profile/self,2025-03-27T06:46:25.599Z
7d709b412d9f44799594c5ad30a7f6a7,2026-02-26T11:00:00Z,2026-02-26T11:15:18Z,auth,auth_enUS_labelerexp,at://did:plc:csfbwrke4fq5w4vrsicrdtdk/app.bsky.feed.post/3mfmgvy6zmk2f,bafyreief5rw4dxaip4ql3scduawvlbw7vmxohglexomu3bchik5mx5qsyq,did:plc:uac6er53o2pvr5y2qmvaf7hw,meta-link,,at://did:plc:csfbwrke4fq5w4vrsicrdtdk/app.bsky.actor.profile/self,2025-06-07T05:14:54.860Z
