run_id,vantage_id,context_scope,context_post_uri,actor_did,other_did,following,followed_by,blocking,blocked_by,blocking_by_list_uri,blocked_by_list_uri,raw_json,captured_at_utc
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,seed_actor_pairwise,,did:plc:2235hceapp64cpjpqp5sm5g7,did:plc:5ujft2wuh65pnvxb3jm5weto,,,,,,,"{""$type"":""app.bsky.graph.defs#relationship"",""did"":""did:plc:5ujft2wuh65pnvxb3jm5weto""}",2026-04-03T08:23:47Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,seed_actor_pairwise,,did:plc:2235hceapp64cpjpqp5sm5g7,did:plc:6h5ikid5y5efj34rvltdxpkr,,,,,,,"{""$type"":""app.bsky.graph.defs#relationship"",""did"":""did:plc:6h5ikid5y5efj34rvltdxpkr""}",2026-04-03T08:23:47Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,seed_actor_pairwise,,did:plc:2235hceapp64cpjpqp5sm5g7,did:plc:7a2tz472plo3vglw54p32jgk,,,,,,,"{""$type"":""app.bsky.graph.defs#relationship"",""did"":""did:plc:7a2tz472plo3vglw54p32jgk""}",2026-04-03T08:23:47Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,seed_actor_pairwise,,did:plc:2235hceapp64cpjpqp5sm5g7,did:plc:7bpe7ni4y2psqssgj5cdhskp,,,,,,,"{""$type"":""app.bsky.graph.defs#relationship"",""did"":""did:plc:7bpe7ni4y2psqssgj5cdhskp""}",2026-04-03T08:23:47Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,seed_actor_pairwise,,did:plc:2235hceapp64cpjpqp5sm5g7,did:plc:ahna6rwhqcrf7soxqii3iprk,,,,,,,"{""$type"":""app.bsky.graph.defs#relationship"",""did"":""did:plc:ahna6rwhqcrf7soxqii3iprk""}",2026-04-03T08:23:47Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,seed_actor_pairwise,,did:plc:2235hceapp64cpjpqp5sm5g7,did:plc:ammn7t6kyhnl5hrcgzqi742w,,,,,,,"{""$type"":""app.bsky.graph.defs#relationship"",""did"":""did:plc:ammn7t6kyhnl5hrcgzqi742w""}",2026-04-03T08:23:47Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,seed_actor_pairwise,,did:plc:2235hceapp64cpjpqp5sm5g7,did:plc:aowcgopwa7t2gkvoxkjfmiks,,,,,,,"{""$type"":""app.bsky.graph.defs#relationship"",""did"":""did:plc:aowcgopwa7t2gkvoxkjfmiks""}",2026-04-03T08:23:47Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,seed_actor_pairwise,,did:plc:2235hceapp64cpjpqp5sm5g7,did:plc:burfwutziwakfxegl4ljbhsp,,,,,,,"{""$type"":""app.bsky.graph.defs#relationship"",""did"":""did:plc:burfwutziwakfxegl4ljbhsp""}",2026-04-03T08:23:47Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,seed_actor_pairwise,,did:plc:2235hceapp64cpjpqp5sm5g7,did:plc:eeoaqma5os433d2ku4v246om,,,,,,,"{""$type"":""app.bsky.graph.defs#relationship"",""did"":""did:plc:eeoaqma5os433d2ku4v246om""}",2026-04-03T08:23:47Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,seed_actor_pairwise,,did:plc:2235hceapp64cpjpqp5sm5g7,did:plc:ep5y2ipptlfxekddlniyq2jy,,,,,,,"{""$type"":""app.bsky.graph.defs#relationship"",""did"":""did:plc:ep5y2ipptlfxekddlniyq2jy""}",2026-04-03T08:23:47Z
