run_id,vantage_id,did,resolved_pds_host,resolution_method,did_doc_url,service_endpoint,error,captured_at_utc
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2cqz73rvjzeuq3kdlicq4zxq,https://pioppino.us-west.host.bsky.network,plc_directory,https://plc.directory/did:plc:2cqz73rvjzeuq3kdlicq4zxq,https://pioppino.us-west.host.bsky.network,,2026-04-03T08:26:13Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2dozc4lhicvbmpsbxnicvdpj,https://morel.us-east.host.bsky.network,plc_directory,https://plc.directory/did:plc:2dozc4lhicvbmpsbxnicvdpj,https://morel.us-east.host.bsky.network,,2026-04-03T08:26:13Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2dwo6z7vorrvlxsf7km362dd,https://jellybaby.us-east.host.bsky.network,plc_directory,https://plc.directory/did:plc:2dwo6z7vorrvlxsf7km362dd,https://jellybaby.us-east.host.bsky.network,,2026-04-03T08:26:14Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2dxfjz7gh5zd36lnvmpphola,https://elfcup.us-east.host.bsky.network,plc_directory,https://plc.directory/did:plc:2dxfjz7gh5zd36lnvmpphola,https://elfcup.us-east.host.bsky.network,,2026-04-03T08:26:14Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2enagosp6gm3bg34y67lt34t,https://morel.us-east.host.bsky.network,plc_directory,https://plc.directory/did:plc:2enagosp6gm3bg34y67lt34t,https://morel.us-east.host.bsky.network,,2026-04-03T08:26:14Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2etgbwm2s6glwadvacxclucn,https://morel.us-east.host.bsky.network,plc_directory,https://plc.directory/did:plc:2etgbwm2s6glwadvacxclucn,https://morel.us-east.host.bsky.network,,2026-04-03T08:26:14Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2fahvrybjftz7lbttsigjdsp,https://morel.us-east.host.bsky.network,plc_directory,https://plc.directory/did:plc:2fahvrybjftz7lbttsigjdsp,https://morel.us-east.host.bsky.network,,2026-04-03T08:26:15Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2fjhikcei3dugdzhgfuae35z,https://goldenear.us-west.host.bsky.network,plc_directory,https://plc.directory/did:plc:2fjhikcei3dugdzhgfuae35z,https://goldenear.us-west.host.bsky.network,,2026-04-03T08:26:15Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2fkaisiipud5or47pprk7aru,https://cortinarius.us-west.host.bsky.network,plc_directory,https://plc.directory/did:plc:2fkaisiipud5or47pprk7aru,https://cortinarius.us-west.host.bsky.network,,2026-04-03T08:26:16Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2fnj5z3qpwwcauwq76wkmhm2,https://jellybaby.us-east.host.bsky.network,plc_directory,https://plc.directory/did:plc:2fnj5z3qpwwcauwq76wkmhm2,https://jellybaby.us-east.host.bsky.network,,2026-04-03T08:26:16Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2fwtbaevil5elglqawia2cpw,https://morel.us-east.host.bsky.network,plc_directory,https://plc.directory/did:plc:2fwtbaevil5elglqawia2cpw,https://morel.us-east.host.bsky.network,,2026-04-03T08:26:17Z
